,year_film,year_award,category,nominee,film,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
60,2002,2003,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Hours,tt0274558,The Hours,The Hours,2002,7/03/2003,"Drama, Romance",110,"USA, UK, France, Canada, Germany",English,Stephen Daldry,"Michael Cunningham, David Hare",Paramount Pictures,"Nicole Kidman, Julianne Moore, Meryl Streep, Stephen Dillane, Miranda Richardson, George Loftus, Charley Ramm, Sophie Wyburd, Lyndsey Marshal, Linda Bassett, Christian Coulson, Michael Culkin, John C. Reilly, Jack Rovello, Toni Collette","The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.",7.5,122422,"$25,000,000","$41,675,994","$108,846,072",80.0,677.0,170.0
61,2003,2004,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Monster,tt0340855,Monster,Monster,2003,30/04/2004,"Biography, Crime, Drama",109,"USA, Germany",English,Patty Jenkins,Patty Jenkins,Media 8 Entertainment,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen, Annie Corley, Pruitt Taylor Vince, Marco St. John, Marc Macaulay, Scott Wilson, Rus Blackwell, Tim Ware, Stephan Jones, Brett Rice, Kaitlin Riley, Cree Ivey",Based on the life of,7.3,133240,"$8,000,000","$34,469,210","$58,469,210",74.0,573.0,193.0
62,2003,2004,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Mystic River,tt0327056,Mystic River,Mystic River,2003,24/10/2003,"Crime, Drama, Mystery",138,"USA, Australia",English,Clint Eastwood,"Brian Helgeland, Dennis Lehane",Warner Bros.,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark, Andrew Mackin, Adam Nelson, Robert Wahlberg, Jenny O'Hara, John Doman",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,7.9,411389,"$25,000,000","$90,135,191","$156,595,191",84.0,1041.0,236.0
63,2003,2004,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tim Robbins,Mystic River,tt0327056,Mystic River,Mystic River,2003,24/10/2003,"Crime, Drama, Mystery",138,"USA, Australia",English,Clint Eastwood,"Brian Helgeland, Dennis Lehane",Warner Bros.,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark, Andrew Mackin, Adam Nelson, Robert Wahlberg, Jenny O'Hara, John Doman",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,7.9,411389,"$25,000,000","$90,135,191","$156,595,191",84.0,1041.0,236.0
64,2004,2005,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Aviator,tt0338751,The Aviator,The Aviator,2004,28/01/2005,"Biography, Drama",170,"Germany, USA",English,Martin Scorsese,John Logan,Forward Pass,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly, Alec Baldwin, Alan Alda, Ian Holm, Danny Huston, Gwen Stefani, Jude Law, Adam Scott, Matt Ross, Kelli Garner, Frances Conroy, Brent Spiner",A biopic depicting the early years of legendary Director and aviator,7.5,327091,"$110,000,000","$102,610,330","$213,719,942",77.0,841.0,262.0
65,2004,2005,Best Original Score - Motion Picture,Howard Shore,The Aviator,tt0338751,The Aviator,The Aviator,2004,28/01/2005,"Biography, Drama",170,"Germany, USA",English,Martin Scorsese,John Logan,Forward Pass,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly, Alec Baldwin, Alan Alda, Ian Holm, Danny Huston, Gwen Stefani, Jude Law, Adam Scott, Matt Ross, Kelli Garner, Frances Conroy, Brent Spiner",A biopic depicting the early years of legendary Director and aviator,7.5,327091,"$110,000,000","$102,610,330","$213,719,942",77.0,841.0,262.0
66,2004,2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jamie Foxx,Ray,tt0350258,Ray,Ray,2004,21/01/2005,"Biography, Drama, Music",152,USA,English,Taylor Hackford,"Taylor Hackford, James L. White",Universal Pictures,"Jamie Foxx, Kerry Washington, Regina King, Clifton Powell, Harry Lennix, Bokeem Woodbine, Aunjanue Ellis, Sharon Warren, C.J. Sanders, Curtis Armstrong, Richard Schiff, Larenz Tate, Terrence Howard, David Krumholtz, Wendell Pierce",The story of the life and career of the legendary rhythm and blues musician,7.7,136097,"$40,000,000","$75,331,600","$123,971,376",73.0,461.0,199.0
67,2004,2005,Best Performance by an Actress in a Supporting Role in any Motion Picture,Natalie Portman,Closer,tt0376541,Closer,Closer,2004,10/12/2004,"Drama, Romance",104,"USA, UK",English,Mike Nichols,"Patrick Marber, Patrick Marber",Columbia Pictures,"Natalie Portman, Jude Law, Julia Roberts, Clive Owen, Nick Hobbs, Colin Stinton",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,7.2,199832,"$27,000,000","$33,987,757","$115,505,027",65.0,954.0,206.0
68,2004,2005,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clive Owen,Closer,tt0376541,Closer,Closer,2004,10/12/2004,"Drama, Romance",104,"USA, UK",English,Mike Nichols,"Patrick Marber, Patrick Marber",Columbia Pictures,"Natalie Portman, Jude Law, Julia Roberts, Clive Owen, Nick Hobbs, Colin Stinton",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,7.2,199832,"$27,000,000","$33,987,757","$115,505,027",65.0,954.0,206.0
69,2005,2006,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,tt0837796,House,House,2008,7/11/2008,Horror,88,USA,English,Robby Henson,"Ted Dekker, Rob Green",More Entertainment,"Michael Madsen, Reynaldo Rosales, Heidi Dippold, Julie Ann Emery, J.P. Davis, Lew Temple, Leslie Easterbrook, Bill Moseley, Pawel Delag, Weronika Rosati, Alanna Bale, Mark Fierer, Florentyna Synowiecka, Andrew Gorzen, Albert Pietrzak","In rural Alabama, two couples find themselves in a fight for survival. Running from a maniac (The Tin Man) bent on killing them, they flee deep into the woods and seek refuge in a house.",4.6,5519,"$2,500,000","$575,048","$1,141,018",24.0,76.0,49.0
70,2006,2007,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,tt0837796,House,House,2008,7/11/2008,Horror,88,USA,English,Robby Henson,"Ted Dekker, Rob Green",More Entertainment,"Michael Madsen, Reynaldo Rosales, Heidi Dippold, Julie Ann Emery, J.P. Davis, Lew Temple, Leslie Easterbrook, Bill Moseley, Pawel Delag, Weronika Rosati, Alanna Bale, Mark Fierer, Florentyna Synowiecka, Andrew Gorzen, Albert Pietrzak","In rural Alabama, two couples find themselves in a fight for survival. Running from a maniac (The Tin Man) bent on killing them, they flee deep into the woods and seek refuge in a house.",4.6,5519,"$2,500,000","$575,048","$1,141,018",24.0,76.0,49.0
71,2006,2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Hudson,Dreamgirls,tt0443489,Dreamgirls,Dreamgirls,2006,26/01/2007,"Drama, Music, Musical",130,USA,English,Bill Condon,"Tom Eyen, Bill Condon",DreamWorks,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover, Jennifer Hudson, Anika Noni Rose, Keith Robinson, Sharon Leal, Hinton Battle, Mariah Iman Wilson, Yvette Cason, Ken Page, Ralph Louis Harris, Michael-Leon Wooley, Loretta Devine","A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",6.5,67641,"$70,000,000","$103,365,956","$155,430,335",76.0,529.0,236.0
72,2006,2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Murphy,Dreamgirls,tt0443489,Dreamgirls,Dreamgirls,2006,26/01/2007,"Drama, Music, Musical",130,USA,English,Bill Condon,"Tom Eyen, Bill Condon",DreamWorks,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover, Jennifer Hudson, Anika Noni Rose, Keith Robinson, Sharon Leal, Hinton Battle, Mariah Iman Wilson, Yvette Cason, Ken Page, Ralph Louis Harris, Michael-Leon Wooley, Loretta Devine","A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",6.5,67641,"$70,000,000","$103,365,956","$155,430,335",76.0,529.0,236.0
73,2006,2007,Best Original Song - Motion Picture,"""The Song of the Heart"", Prince ",Happy Feet,tt0366548,Happy Feet,Happy Feet,2006,1/12/2006,"Animation, Adventure, Comedy",108,"USA, Australia",English,"George Miller, Warren Coleman","George Miller, John Collee",Warner Bros.,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Robin Williams, Elijah Wood, Brittany Murphy, Hugh Jackman, Nicole Kidman, Hugo Weaving, Elizabeth Daily, Magda Szubanski, Miriam Margolyes, Fat Joe, Alyssa Shafer","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",6.4,166806,"$100,000,000","$198,000,317","$384,336,108",77.0,586.0,192.0
74,2007,2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,tt1674771,Entourage,Entourage,2015,15/07/2015,Comedy,104,USA,English,Doug Ellin,"Doug Ellin, Doug Ellin",Warner Bros.,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Jeremy Piven, Emmanuelle Chriqui, Perrey Reeves, Rex Lee, Debi Mazar, Rhys Coiro, Constance Zimmer, Haley Joel Osment, Ronda Rousey, Kid Cudi, Alan Dale","Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",6.6,75015,"$30,000,000","$32,363,404","$49,263,404",38.0,192.0,227.0
75,2008,2009,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Revolutionary Road,tt0959337,Revolutionary Road,Revolutionary Road,2008,30/01/2009,"Drama, Romance",119,"USA, UK",English,Sam Mendes,"Justin Haythe, Richard Yates",DreamWorks,"Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, David Harbour",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,7.3,192030,"$35,000,000","$22,911,480","$75,981,180",69.0,491.0,323.0
76,2008,2009,Best Performance by an Actor in a Motion Picture - Drama,Mickey Rourke,The Wrestler,tt1125849,The Wrestler,The Wrestler,2008,6/03/2009,"Drama, Sport",109,"USA, France",English,Darren Aronofsky,Robert Siegel,Wild Bunch,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, Todd Barry, Wass Stevens, Judah Friedlander, Ernest Miller, Dylan Keith Summers, Tommy Farra, Mike Miller, Marcia Jean Kurtz, John D'Leo, Ajay Naidu, Gregg Bello","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",7.9,286256,"$6,000,000","$26,238,243","$44,734,660",80.0,591.0,333.0
77,2008,2009,Best Original Song - Motion Picture,"The Wrestler, Bruce Springsteen",The Wrestler,tt1125849,The Wrestler,The Wrestler,2008,6/03/2009,"Drama, Sport",109,"USA, France",English,Darren Aronofsky,Robert Siegel,Wild Bunch,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, Todd Barry, Wass Stevens, Judah Friedlander, Ernest Miller, Dylan Keith Summers, Tommy Farra, Mike Miller, Marcia Jean Kurtz, John D'Leo, Ajay Naidu, Gregg Bello","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",7.9,286256,"$6,000,000","$26,238,243","$44,734,660",80.0,591.0,333.0
78,2009,2010,Best Original Score - Motion Picture,Michael Giacchino,Up,tt1049413,Up,Up,2009,15/10/2009,"Animation, Adventure, Comedy",96,USA,English,"Pete Docter, Bob Peterson","Pete Docter, Bob Peterson",Pixar Animation Studios,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,911402,"$175,000,000","$293,004,164","$735,099,082",88.0,905.0,420.0
79,2010,2011,Best Original Song - Motion Picture,"""You Haven't Seen The Last of Me"", Diane Warren",Burlesque,tt1126591,Burlesque,Burlesque,2010,18/02/2011,"Drama, Music, Musical",119,USA,English,Steve Antin,Steve Antin,Screen Gems,"Cher, Christina Aguilera, Eric Dane, Cam Gigandet, Julianne Hough, Alan Cumming, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron, Glynn Turman, David Walton, Terrence Jenkins, Chelsea Traille, Tanee McCall",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,6.4,76855,"$55,000,000","$39,440,655","$89,519,773",47.0,256.0,194.0
80,2011,2012,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Help,tt1454029,The Help,The Help,2011,20/01/2012,Drama,146,USA,English,Tate Taylor,"Tate Taylor, Kathryn Stockett",DreamWorks,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain, Ahna O'Reilly, Allison Janney, Anna Camp, Eleanor Henry, Emma Henry, Chris Lowell, Cicely Tyson, Mike Vogel, Sissy Spacek, Brian Kerwin","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.0,419566,"$25,000,000","$169,708,112","$216,639,112",62.0,570.0,394.0
81,2012,2013,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Lincoln,tt0443272,Lincoln,Lincoln,2012,24/01/2013,"Biography, Drama, History",150,"USA, India",English,Steven Spielberg,"Tony Kushner, Doris Kearns Goodwin",DreamWorks,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, John Hawkes, Jackie Earle Haley, Bruce McGill, Tim Blake Nelson, Joseph Cross, Jared Harris, Lee Pace, Peter McRobbie","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",7.3,240462,"$65,000,000","$182,207,973","$275,293,450",86.0,797.0,564.0
82,2012,2013,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Les Misérables,tt1707386,Les Misérables,Les Misérables,2012,31/01/2013,"Drama, History, Musical",158,"UK, USA",English,Tom Hooper,"William Nicholson, Alain Boublil",Universal Pictures,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen, Helena Bonham Carter, Eddie Redmayne, Aaron Tveit, Samantha Barks, Daniel Huttlestone, Cavin Cornwall, Josef Altin, Dave Hawley, Adam Jones, John Barr","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",7.6,302721,"$61,000,000","$148,809,770","$441,809,770",63.0,976.0,507.0
83,2012,2013,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Hathaway,Les Misérables,tt1707386,Les Misérables,Les Misérables,2012,31/01/2013,"Drama, History, Musical",158,"UK, USA",English,Tom Hooper,"William Nicholson, Alain Boublil",Universal Pictures,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen, Helena Bonham Carter, Eddie Redmayne, Aaron Tveit, Samantha Barks, Daniel Huttlestone, Cavin Cornwall, Josef Altin, Dave Hawley, Adam Jones, John Barr","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",7.6,302721,"$61,000,000","$148,809,770","$441,809,770",63.0,976.0,507.0
84,2012,2013,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maggie Smith,Downton Abbey,tt6398184,Downton Abbey,Downton Abbey,2019,24/10/2019,"Drama, Romance",122,"UK, USA",English,Michael Engler,"Julian Fellowes, Julian Fellowes",Carnival Film & Television,"Stephen Campbell Moore, Michael Fox, Lesley Nicol, Sophie McShera, Robert James-Collier, Hugh Bonneville, Allen Leech, Michelle Dockery, Phyllis Logan, Laura Carmichael, Elizabeth McGovern, Jim Carter, Geraldine James, Imelda Staunton, Alex Crisp","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",7.4,35846,"$13,000,000","$96,854,135","$194,294,327",64.0,441.0,174.0
85,2014,2015,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt,Downton Abbey,tt6398184,Downton Abbey,Downton Abbey,2019,24/10/2019,"Drama, Romance",122,"UK, USA",English,Michael Engler,"Julian Fellowes, Julian Fellowes",Carnival Film & Television,"Stephen Campbell Moore, Michael Fox, Lesley Nicol, Sophie McShera, Robert James-Collier, Hugh Bonneville, Allen Leech, Michelle Dockery, Phyllis Logan, Laura Carmichael, Elizabeth McGovern, Jim Carter, Geraldine James, Imelda Staunton, Alex Crisp","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",7.4,35846,"$13,000,000","$96,854,135","$194,294,327",64.0,441.0,174.0
