,year_film,year_award,category,nominee,film,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
86,2013,2014,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Blue Jasmine,tt2334873,Blue Jasmine,Blue Jasmine,2013,5/12/2013,Drama,98,USA,English,Woody Allen,Woody Allen,Gravier Productions,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo, Alec Baldwin, Charlie Tahan, Annie McNamara, Sally Hawkins, Daniel Jenks, Max Rutherford, Andrew Dice Clay, Tammy Blanchard, Kathy Tong, Ted Neustadt, Andrew Long","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",7.3,189028,"$18,000,000","$33,405,481","$99,104,804",78.0,460.0,446.0
87,2014,2015,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Still Alice,tt3316960,Still Alice,Still Alice,2014,16/01/2015,Drama,101,"USA, UK, France",English,"Richard Glatzer, Wash Westmoreland","Richard Glatzer, Wash Westmoreland",Lutzus-Brown,"Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin, Seth Gilliam, Kristen Stewart, Stephen Kunken, Erin Darke, Daniel Gerroll, Quincy Tyler Bernstine, Maxine Prescott, Orlagh Cassidy, Rosa Arredondo, Zillah Glory",A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,7.5,124366,"$5,000,000","$18,754,371","$44,779,195",72.0,250.0,301.0
88,2014,2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons,Whiplash,tt2582802,Whiplash,Whiplash,2014,12/02/2015,"Drama, Music",106,USA,English,Damien Chazelle,Damien Chazelle,Bold Films,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,690732,"$3,300,000","$13,092,000","$48,983,260",88.0,1213.0,583.0
89,2014,2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billy Bob Thornton,Fargo,tt0116282,Fargo,Fargo,1996,16/05/1996,"Crime, Drama, Thriller",98,"USA, UK",English,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",PolyGram Filmed Entertainment,"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd, Harve Presnell, Tony Denman, Gary Houston, Sally Wingert, Kurt Schweickhardt, Larissa Kokernot, Melissa Peterman, Steve Reevis, Warren Keith, Steve Edelman, Sharon Anderson",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,8.1,600952,"$7,000,000","$24,611,975","$60,611,975",85.0,960.0,227.0
90,2017,2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ewan McGregor,Fargo,tt0116282,Fargo,Fargo,1996,16/05/1996,"Crime, Drama, Thriller",98,"USA, UK",English,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",PolyGram Filmed Entertainment,"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd, Harve Presnell, Tony Denman, Gary Houston, Sally Wingert, Kurt Schweickhardt, Larissa Kokernot, Melissa Peterman, Steve Reevis, Warren Keith, Steve Edelman, Sharon Anderson",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,8.1,600952,"$7,000,000","$24,611,975","$60,611,975",85.0,960.0,227.0
91,2015,2016,Best Performance by an Actress in a Motion Picture - Drama,Brie Larson,Room,tt3170832,Room,Room,2015,3/03/2016,"Drama, Thriller",118,"Canada, Ireland, UK, USA",English,Lenny Abrahamson,"Emma Donoghue, Emma Donoghue",Element Pictures,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster, Matt Gordon, Amanda Brugel, Joe Pingue, Joan Allen, Zarrin Darnell-Martin, Cas Anvar, William H. Macy, Jee-Yun Lee, Randal Edwards, Justin Mader","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.1,357159,"$13,000,000","$14,677,654","$35,401,758",86.0,677.0,479.0
92,2016,2017,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea,tt4034228,Manchester by the Sea,Manchester by the Sea,2016,16/02/2017,Drama,137,USA,English,Kenneth Lonergan,Kenneth Lonergan,Amazon Studios,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly, Virginia Loring Cooke, Quincy Tyler Bernstine, Missy Yager, Stephen McKinley Henderson, Ben Hanson, Mary Mallen, Lewis D. Wheeler, Anthony Estrella, C.J. Wilson, Susan Pourfar, Robert Sella",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8,238464,"$9,000,000","$47,695,371","$78,988,148",96.0,806.0,503.0
93,2016,2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
94,2016,2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
95,2016,2017,Best Director - Motion Picture,Damien Chazelle,La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
96,2016,2017,Best Screenplay - Motion Picture,Damien Chazelle,La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
97,2016,2017,Best Original Score - Motion Picture,Justin Hurwitz,La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
98,2016,2017,Best Original Song - Motion Picture,"""City of Stars"", Justin Hurwitz, Benj Pasek, Justin Paul",La La Land,tt3783958,La La Land,La La Land,2016,26/01/2017,"Comedy, Drama, Music",128,"USA, Hong Kong",English,Damien Chazelle,Damien Chazelle,Summit Entertainment,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,488112,"$30,000,000","$151,101,803","$446,486,384",94.0,1793.0,695.0
99,2017,2018,Best Original Song - Motion Picture,"""This Is Me"", Justin Paul, Benj Pasek",The Greatest Showman,tt1485796,The Greatest Showman,The Greatest Showman,2017,25/12/2017,"Biography, Drama, Musical",105,USA,English,Michael Gracey,"Jenny Bicks, Bill Condon",Bona Film Group,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya, Rebecca Ferguson, Austyn Johnson, Cameron Seely, Keala Settle, Sam Humphrey, Yahya Abdul-Mateen II, Eric Anderson, Ellis Rubin, Skylar Dunn, Daniel Everidge, Radu Spinghel",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,7.6,226510,"$84,000,000","$174,340,174","$435,086,403",48.0,1819.0,331.0
100,2019,2020,Best Performance by an Actor in a Motion Picture - Drama,Joaquin Phoenix,Joker,tt7286456,Joker,Joker,2019,3/10/2019,"Crime, Drama, Thriller",122,"USA, Canada",English,Todd Phillips,"Todd Phillips, Scott Silver",Warner Bros.,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.5,855097,"$55,000,000","$335,451,311","$1,074,251,311",59.0,10472.0,698.0
101,2019,2020,Best Original Score - Motion Picture,Hildur Guðnadóttir,Joker,tt7286456,Joker,Joker,2019,3/10/2019,"Crime, Drama, Thriller",122,"USA, Canada",English,Todd Phillips,"Todd Phillips, Scott Silver",Warner Bros.,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.5,855097,"$55,000,000","$335,451,311","$1,074,251,311",59.0,10472.0,698.0
102,2019,2020,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Taron Egerton,Rocketman,tt2066051,Rocketman,Rocketman,2019,29/05/2019,"Biography, Drama, Music",121,"UK, USA, Canada",English,Dexter Fletcher,Lee Hall,Paramount Pictures,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Steven Mackintosh, Tom Bennett, Matthew Illesley, Kit Connor, Charlie Rowe, Peter O'Hanlon, Ross Farrelly, Evan Walsh, Tate Donovan, Sharmina Harrower",A musical fantasy about the fantastical human story of,7.3,124399,"$40,000,000","$96,368,160","$195,179,299",69.0,958.0,346.0
103,2019,2020,Best Original Song - Motion Picture,"I'm Gonna Love Me Again, Elton John, Bernie Taupin",Rocketman,tt2066051,Rocketman,Rocketman,2019,29/05/2019,"Biography, Drama, Music",121,"UK, USA, Canada",English,Dexter Fletcher,Lee Hall,Paramount Pictures,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Steven Mackintosh, Tom Bennett, Matthew Illesley, Kit Connor, Charlie Rowe, Peter O'Hanlon, Ross Farrelly, Evan Walsh, Tate Donovan, Sharmina Harrower",A musical fantasy about the fantastical human story of,7.3,124399,"$40,000,000","$96,368,160","$195,179,299",69.0,958.0,346.0
