,year_film,year_award,category,nominee,film
1060,2002,2003,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Chicago
1061,2002,2003,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Gere,Chicago
1062,2002,2003,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Adaptation
1063,2002,2003,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chris Cooper,Adaptation
1064,2002,2003,Best Director - Motion Picture,Martin Scorsese,Gangs of New York
1065,2002,2003,Best Screenplay - Motion Picture,"Alexander Payne, Jim Taylor",About Schmidt
1066,2002,2003,Best Motion Picture - Foreign Language,Talk To Her,"Spain, Pedro Almodóvar"
1067,2002,2003,Best Original Score - Motion Picture,Elliot Goldenthal,Frida
1068,2002,2003,Best Original Song - Motion Picture,"""The Hands That Built America"", U2",Gangs of New York
1069,2002,2003,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Uma Thurman,Hysterical Blindness
1070,2002,2003,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Albert Finney,The Gathering Storm
1071,2002,2003,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The"
1072,2002,2003,Best Performance by an Actor In A Television Series - Drama,Michael Chiklis,"Shield, The"
1073,2002,2003,Best Performance by an Actress in a Television Series - Musical or Comedy,Jennifer Aniston,Friends
1074,2002,2003,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk
1075,2002,2003,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City
1076,2002,2003,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Path to War
1077,2003,2004,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Monster
1078,2003,2004,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Mystic River
1079,2003,2004,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Something's Gotta Give
1080,2003,2004,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Lost in Translation
1081,2003,2004,Best Performance by an Actress in a Supporting Role in any Motion Picture,Renée Zellweger,Cold Mountain
1082,2003,2004,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tim Robbins,Mystic River
1083,2003,2004,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Return of the King
1084,2003,2004,Best Screenplay - Motion Picture,Sofia Coppola,Lost in Translation
1085,2003,2004,Best Motion Picture - Foreign Language,Osama,"Afghanistan, Siddiq Barmak"
1086,2003,2004,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Return of the King
1087,2003,2004,Best Original Song - Motion Picture,"""Into the West"", Annie Lennox, Howard Shore, Fran Walsh",The Lord of the Rings: The Return of the King
1088,2003,2004,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Meryl Streep,Angels in America
1089,2003,2004,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Al Pacino,Angels in America
1090,2003,2004,Best Performance by an Actress In A Television Series - Drama,Frances Conroy,Six Feet Under
1091,2003,2004,Best Performance by an Actor In A Television Series - Drama,Anthony LaPaglia,Without a Trace
1092,2003,2004,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City
1093,2003,2004,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,"Office, The (UK)"
1094,2003,2004,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mary-Louise Parker,Angels in America
1095,2003,2004,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeffrey Wright,Angels in America
1096,2004,2005,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Million Dollar Baby
1097,2004,2005,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Aviator
1098,2004,2005,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,Being Julia
1099,2004,2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jamie Foxx,Ray
1100,2004,2005,Best Performance by an Actress in a Supporting Role in any Motion Picture,Natalie Portman,Closer
1101,2004,2005,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clive Owen,Closer
1102,2004,2005,Best Director - Motion Picture,Clint Eastwood,Million Dollar Baby
1103,2004,2005,Best Screenplay - Motion Picture,"Alexander Payne, Jim Taylor",Sideways
1104,2004,2005,Best Motion Picture - Foreign Language,The Sea Inside,"Spain, Alejandro Amenábar"
1105,2004,2005,Best Original Score - Motion Picture,Howard Shore,The Aviator
1106,2004,2005,Best Original Song - Motion Picture,"""Old Habits Die Hard"", Dave Stewart, Mick Jagger",Alfie (2004)
1107,2004,2005,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Glenn Close,The Lion in Winter (2004)
1108,2004,2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Geoffrey Rush,The Life and Death of Peter Sellers
1109,2004,2005,Best Performance by an Actress In A Television Series - Drama,Mariska Hargitay,Law & Order: Special Victims Unit
1110,2004,2005,Best Performance by an Actor In A Television Series - Drama,Ian McShane,Deadwood
1111,2004,2005,Best Performance by an Actress in a Television Series - Musical or Comedy,Teri Hatcher,Desperate Housewives
1112,2004,2005,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Bateman,Arrested Development
1113,2004,2005,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anjelica Huston,Iron Jawed Angels
1114,2004,2005,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Shatner,Boston Legal
1115,2005,2006,Best Performance by an Actress in a Motion Picture - Drama,Felicity Huffman,Transamerica
1116,2005,2006,Best Performance by an Actor in a Motion Picture - Drama,Philip Seymour Hoffman,Capote
1117,2005,2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Walk The Line
1118,2005,2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Walk The Line
1119,2005,2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rachel Weisz,"Constant Gardener, The"
1120,2005,2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Clooney,Syriana
1121,2005,2006,Best Director - Motion Picture,Ang Lee,Brokeback Mountain
1122,2005,2006,Best Screenplay - Motion Picture,"Larry McMurtry, Diana Ossana",Brokeback Mountain
1123,2005,2006,Best Motion Picture - Foreign Language,Paradise Now,"Palestine, Hany Abu-Assad"
1124,2005,2006,Best Original Score - Motion Picture,John Williams,Memoirs of a Geisha
1125,2005,2006,Best Original Song - Motion Picture,"""A Love That Will Never Grow Old"", Gustavo Santaolalla, Bernie Taupin",Brokeback Mountain
1126,2005,2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,S. Epatha Merkerson,Lackawanna Blues
1127,2005,2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jonathan Rhys Meyers,Elvis
1128,2005,2006,Best Performance by an Actress In A Television Series - Drama,Geena Davis,Commander in Chief
1129,2005,2006,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House
1130,2005,2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds
1131,2005,2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The"
1132,2005,2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sandra Oh,Grey's Anatomy
1133,2005,2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Paul Newman,Empire Falls
1134,2006,2007,Best Performance by an Actress in a Motion Picture - Drama,Helen Mirren,"Queen, The"
1135,2006,2007,Best Performance by an Actor in a Motion Picture - Drama,Forest Whitaker,"Last King of Scotland, The"
1136,2006,2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,"Devil Wears Prada, The"
1137,2006,2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sacha Baron Cohen,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan
1138,2006,2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Hudson,Dreamgirls
1139,2006,2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Murphy,Dreamgirls
1140,2006,2007,Best Director - Motion Picture,Martin Scorsese,"Departed, The"
1141,2006,2007,Best Screenplay - Motion Picture,Peter Morgan,"Queen, The"
1142,2006,2007,Best Motion Picture - Foreign Language,Letters from Iwo Jima,"United States, Clint Eastwood"
1143,2006,2007,Best Original Score - Motion Picture,Alexandre Desplat,The Painted Veil
1144,2006,2007,Best Original Song - Motion Picture,"""The Song of the Heart"", Prince ",Happy Feet
1145,2006,2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Elizabeth I
1146,2006,2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Nighy,Gideon's Daughter
1147,2006,2007,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The"
1148,2006,2007,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House
1149,2006,2007,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty
1150,2006,2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock
1151,2006,2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Emily Blunt,Gideon's Daughter
1152,2006,2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Irons,Elizabeth I
1153,2007,2008,Best Performance by an Actress in a Motion Picture - Drama,Julie Christie,Away From Her
1154,2007,2008,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,There Will Be Blood
1155,2007,2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,La Vie En Rose
1156,2007,2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street
1157,2007,2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,I'm Not There
1158,2007,2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,Javier Bardem,No Country for Old Men
1159,2007,2008,Best Director - Motion Picture,Julian Schnabel,The Diving Bell and the Butterfly
1160,2007,2008,Best Screenplay - Motion Picture,"Joel Coen, Ethan Coen",No Country for Old Men
1161,2007,2008,Best Motion Picture - Foreign Language,The Diving Bell and the Butterfly,"France, United States, Julian Schnabel"
1162,2007,2008,Best Original Score - Motion Picture,Dario Marianelli,Atonement
1163,2007,2008,Best Original Song - Motion Picture,"""Guaranteed"", Eddie Vedder",Into The Wild
1164,2007,2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Queen Latifah,Life Support
1165,2007,2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jim Broadbent,Longford
1166,2007,2008,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages
1167,2007,2008,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men
1168,2007,2008,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock
1169,2007,2008,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication
1170,2007,2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Samantha Morton,Longford
1171,2007,2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage
1172,2008,2009,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Revolutionary Road
1173,2008,2009,Best Performance by an Actor in a Motion Picture - Drama,Mickey Rourke,The Wrestler
1174,2008,2009,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Hawkins,Happy-Go-Lucky
1175,2008,2009,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,In Bruges
1176,2008,2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,"Reader, The"
1177,2008,2009,Best Performance by an Actor in a Supporting Role in any Motion Picture,Heath Ledger,"Dark Knight, The"
1178,2008,2009,Best Director - Motion Picture,Danny Boyle,Slumdog Millionaire
1179,2008,2009,Best Screenplay - Motion Picture,Simon Beaufoy,Slumdog Millionaire
1180,2008,2009,Best Motion Picture - Foreign Language,Waltz with Bashir,"Israel, Ari Folman"
1181,2008,2009,Best Original Score - Motion Picture,A. R. Rahman,Slumdog Millionaire
1182,2008,2009,Best Original Song - Motion Picture,"The Wrestler, Bruce Springsteen",The Wrestler
1183,2008,2009,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Linney,John Adams
1184,2008,2009,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Paul Giamatti,John Adams
1185,2008,2009,Best Performance by an Actress In A Television Series - Drama,Anna Paquin,True Blood
1186,2008,2009,Best Performance by an Actor In A Television Series - Drama,Gabriel Byrne,In Treatment
1187,2008,2009,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock
1188,2008,2009,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock
1189,2008,2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Recount
1190,2008,2009,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tom Wilkinson,John Adams
1191,2009,2010,Best Performance by an Actress in a Motion Picture - Drama,Sandra Bullock,"Blind Side, The"
1192,2009,2010,Best Performance by an Actor in a Motion Picture - Drama,Jeff Bridges,Crazy Heart
1193,2009,2010,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Julie & Julia
1194,2009,2010,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Downey Jr.,Sherlock Holmes
1195,2009,2010,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mo'Nique,Precious: Based On The Novel Push By Sapphire
1196,2009,2010,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Inglourious Basterds
1197,2009,2010,Best Director - Motion Picture,James Cameron,Avatar
1198,2009,2010,Best Screenplay - Motion Picture,"Jason Reitman, Sheldon Turner",Up In The Air
1199,2009,2010,Best Motion Picture - Foreign Language,The White Ribbon (Das Weisse Band - Eine Deutsche Kindergeschichte),"Germany, Michael Haneke"
1200,2009,2010,Best Original Score - Motion Picture,Michael Giacchino,Up
1201,2009,2010,Best Original Song - Motion Picture,"""The Weary Kind (Theme From Crazy Heart)"", T Bone Burnett, Ryan Bingham",Crazy Heart
1202,2009,2010,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Drew Barrymore,Grey Gardens
1203,2009,2010,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Bacon,Taking Chance
1204,2009,2010,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,The Good Wife
1205,2009,2010,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter
1206,2009,2010,Best Performance by an Actress in a Television Series - Musical or Comedy,Toni Collette,United States Of Tara
1207,2009,2010,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock
1208,2009,2010,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chloë Sevigny,Big Love
1209,2009,2010,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Lithgow,Dexter
1210,2010,2011,Best Performance by an Actress in a Motion Picture - Drama,Natalie Portman,Black Swan
1211,2010,2011,Best Performance by an Actor in a Motion Picture - Drama,Colin Firth,The King's Speech
1212,2010,2011,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,"Kids Are All Right, The"
1213,2010,2011,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Giamatti,Barney's Version
1214,2010,2011,Best Performance by an Actress in a Supporting Role in any Motion Picture,Melissa Leo,"Fighter, The"
1215,2010,2011,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christian Bale,"Fighter, The"
1216,2010,2011,Best Director - Motion Picture,David Fincher,The Social Network
1217,2010,2011,Best Screenplay - Motion Picture,Aaron Sorkin,The Social Network
1218,2010,2011,Best Motion Picture - Foreign Language,In A Better World,"Denmark, Susanne Bier"
1219,2010,2011,Best Original Score - Motion Picture,"Trent Reznor, Atticus Ross",The Social Network
1220,2010,2011,Best Original Song - Motion Picture,"""You Haven't Seen The Last of Me"", Diane Warren",Burlesque
1221,2010,2011,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Claire Danes,Temple Grandin
1222,2010,2011,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Al Pacino,You Don't Know Jack
1223,2010,2011,Best Performance by an Actress In A Television Series - Drama,Katey Sagal,Sons of Anarchy
1224,2010,2011,Best Performance by an Actor In A Television Series - Drama,Steve Buscemi,Boardwalk Empire
1225,2010,2011,Best Performance by an Actress in a Television Series - Musical or Comedy,Laura Linney,"Big C, The"
1226,2010,2011,Best Performance by an Actor in a Television Series - Musical or Comedy,Jim Parsons,"Big Bang Theory, The"
1227,2010,2011,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Lynch,Glee
1228,2010,2011,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chris Colfer,Glee
1229,2011,2012,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,"Iron Lady, The"
1230,2011,2012,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,"Descendants, The"
1231,2011,2012,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Williams,My Week With Marilyn
1232,2011,2012,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jean Dujardin,The Artist
1233,2011,2012,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Help
1234,2011,2012,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Plummer,Beginners
1235,2011,2012,Best Director - Motion Picture,Martin Scorsese,Hugo
1236,2011,2012,Best Screenplay - Motion Picture,Woody Allen,Midnight In Paris
1237,2011,2012,Best Motion Picture - Foreign Language,A Separation,"Iran, Asghar Farhadi "
1238,2011,2012,Best Original Score - Motion Picture,Ludovic Bource,The Artist
1239,2011,2012,Best Original Song - Motion Picture,"""Masterpiece"", Madonna, Julie Frost, Jimmy Harry",W.E.
1240,2011,2012,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kate Winslet,Mildred Pierce
1241,2011,2012,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Idris Elba,Luther
1242,2011,2012,Best Performance by an Actress In A Television Series - Drama,Claire Danes,Homeland
1243,2011,2012,Best Performance by an Actor In A Television Series - Drama,Kelsey Grammer,Boss
1244,2011,2012,Best Performance by an Actress in a Television Series - Musical or Comedy,Laura Dern,Enlightened
1245,2011,2012,Best Performance by an Actor in a Television Series - Musical or Comedy,Matt LeBlanc,Episodes
1246,2011,2012,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jessica Lange,American Horror Story
1247,2011,2012,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Peter Dinklage,Game of Thrones
1248,2012,2013,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Zero Dark Thirty 	
1249,2012,2013,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Lincoln
1250,2012,2013,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Silver Linings Playbook
1251,2012,2013,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Les Misérables
1252,2012,2013,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Hathaway,Les Misérables
1253,2012,2013,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Django Unchained
1254,2012,2013,Best Director - Motion Picture,Ben Affleck,Argo
1255,2012,2013,Best Screenplay - Motion Picture,Quentin Tarantino,Django Unchained
1256,2012,2013,Best Motion Picture - Foreign Language,Amour,"Austria, Michael Haneke"
1257,2012,2013,Best Original Score - Motion Picture,Mychael Danna,Life of Pi
1258,2012,2013,Best Original Song - Motion Picture,"""Skyfall"", Adele, Paul Epworth",Skyfall
1259,2012,2013,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Julianne Moore,Game Change
1260,2012,2013,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Costner,Hatfields & McCoys
1261,2012,2013,Best Performance by an Actress In A Television Series - Drama,Claire Danes,Homeland
1262,2012,2013,Best Performance by an Actor In A Television Series - Drama,Damian Lewis,Homeland
1263,2012,2013,Best Performance by an Actress in a Television Series - Musical or Comedy,Lena Dunham,Girls
1264,2012,2013,Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle,House of Lies
1265,2012,2013,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maggie Smith,Downton Abbey
1266,2012,2013,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Harris,Game Change
1267,2013,2014,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Blue Jasmine
1268,2013,2014,Best Performance by an Actor in a Motion Picture - Drama,Matthew McConaughey,Dallas Buyers Club
1269,2013,2014,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,American Hustle
1270,2013,2014,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,"Wolf of Wall Street, The"
1271,2013,2014,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Lawrence,American Hustle
1272,2013,2014,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jared Leto,Dallas Buyers Club
1273,2013,2014,Best Director - Motion Picture,Alfonso Cuarón,Gravity
1274,2013,2014,Best Screenplay - Motion Picture,Spike Jonze,Her
1275,2013,2014,Best Motion Picture - Foreign Language,The Great Beauty,"Italy, Paolo Sorrentino"
1276,2013,2014,Best Original Score - Motion Picture,Alex Ebert,All Is Lost
1277,2013,2014,Best Original Song - Motion Picture,"""Ordinary Love"", U2, Danger Mouse, Bono",Mandela: Long Walk to Freedom
1278,2013,2014,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Elisabeth Moss,Top of the Lake
1279,2013,2014,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Douglas,Behind the Candelabra
1280,2013,2014,Best Performance by an Actress In A Television Series - Drama,Robin Wright,House of Cards
1281,2013,2014,Best Performance by an Actor In A Television Series - Drama,Bryan Cranston,Breaking Bad
1282,2013,2014,Best Performance by an Actress in a Television Series - Musical or Comedy,Amy Poehler,Parks And Recreation
1283,2013,2014,Best Performance by an Actor in a Television Series - Musical or Comedy,Andy Samberg,Brooklyn Nine-Nine
1284,2013,2014,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jacqueline Bisset,Dancing on the Edge
1285,2013,2014,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jon Voight,Ray Donovan
1286,2014,2015,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Still Alice
1287,2014,2015,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Theory of Everything
1288,2014,2015,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Big Eyes
1289,2014,2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Keaton,Birdman
1290,2014,2015,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Arquette,Boyhood
1291,2014,2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons,Whiplash
1292,2014,2015,Best Director - Motion Picture,Richard Linklater,Boyhood
1293,2014,2015,Best Screenplay - Motion Picture,"Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bo",Birdman
1294,2014,2015,Best Motion Picture - Foreign Language,Leviathan,"Russia, Andrey Zvyagintsev "
1295,2014,2015,Best Original Score - Motion Picture,Jóhann Jóhannsson,The Theory of Everything
1296,2014,2015,Best Original Song - Motion Picture,"""Glory"", Common, John Legend",Selma
1297,2014,2015,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Maggie Gyllenhaal,"Honourable Woman, The"
1298,2014,2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billy Bob Thornton,Fargo
1299,2014,2015,Best Performance by an Actress In A Television Series - Drama,Ruth Wilson,"Affair, The"
1300,2014,2015,Best Performance by an Actor In A Television Series - Drama,Kevin Spacey,House of Cards
1301,2014,2015,Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodriguez,Jane The Virgin
1302,2014,2015,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor,Transparent
1303,2014,2015,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt,Downton Abbey
1304,2014,2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Matt Bomer,The Normal Heart
1305,2015,2016,Best Performance by an Actress in a Motion Picture - Drama,Brie Larson,Room
1306,2015,2016,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Revenant
1307,2015,2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Joy
1308,2015,2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Martian
1309,2015,2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Steve Jobs
1310,2015,2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sylvester Stallone,Creed
1311,2015,2016,Best Director - Motion Picture,Alejandro González Iñárritu,The Revenant
1312,2015,2016,Best Screenplay - Motion Picture,Aaron Sorkin,Steve Jobs
1313,2015,2016,Best Motion Picture - Foreign Language,Son of Saul,"Hungary, László Nemes"
1314,2015,2016,Best Original Score - Motion Picture,Ennio Morricone,The Hateful Eight
1315,2015,2016,Best Original Song - Motion Picture,"""Writing's On The Wall"", Sam Smith, Jimmy Napes",Spectre
1316,2015,2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Lady Gaga,American Horror Story: Hotel
1317,2015,2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Oscar Isaac,Show Me a Hero
1318,2015,2016,Best Performance by an Actress In A Television Series - Drama,Taraji P. Henson,Empire
1319,2015,2016,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men
1320,2015,2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Bloom,Crazy Ex-Girlfriend
1321,2015,2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Gael García Bernal,Mozart in the Jungle
1322,2015,2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maura Tierney,The Affair
1323,2015,2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christian Slater,Mr. Robot
1324,2016,2017,Best Performance by an Actress in a Motion Picture - Drama,Isabelle Huppert,Elle
1325,2016,2017,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea
1326,2016,2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,La La Land
1327,2016,2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land
1328,2016,2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Fences
1329,2016,2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Aaron Taylor-Johnson,Nocturnal Animals
