,year_film,year_award,category,nominee,film
853,1991,1992,Best Motion Picture - Foreign Language,Europa Europa,"Germany, Agnieszka Holland"
854,1991,1992,Best Original Score - Motion Picture,Alan Menken,Beauty and the Beast
855,1991,1992,Best Original Song - Motion Picture,"Beauty and the Beast, Alan Menken, Howard Ashman",Beauty and the Beast
856,1991,1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judy Davis,One Against The Wind
857,1991,1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Beau Bridges,Without Warning: The James Brady Story
858,1991,1992,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote"
859,1991,1992,Best Performance by an Actor In A Television Series - Drama,Scott Bakula,Quantum Leap
860,1991,1992,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown
861,1991,1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Burt Reynolds,Evening Shade
862,1991,1992,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Amanda Donohoe,L.A. Law
863,1991,1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Louis Gossett Jr.,"Josephine Baker Story, The"
864,1992,1993,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,Howards End
865,1992,1993,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Scent of a Woman
866,1992,1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Miranda Richardson,Enchanted April
867,1992,1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tim Robbins,"Player, The"
868,1992,1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Plowright,Enchanted April
869,1992,1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gene Hackman,Unforgiven
870,1992,1993,Best Director - Motion Picture,Clint Eastwood,Unforgiven
871,1992,1993,Best Screenplay - Motion Picture,Bo Goldman,Scent of a Woman
872,1992,1993,Best Motion Picture - Foreign Language,Indochine,"France, Régis Wargnier"
873,1992,1993,Best Original Score - Motion Picture,Alan Menken,Aladdin
874,1992,1993,Best Original Song - Motion Picture,"A Whole New World, Alan Menken, Tim Rice",Aladdin
875,1992,1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Dern,Afterburn
876,1992,1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Stalin
877,1992,1993,Best Performance by an Actress In A Television Series - Drama,Regina Taylor,I'll Fly Away
878,1992,1993,Best Performance by an Actor In A Television Series - Drama,Sam Waterston,I'll Fly Away
879,1992,1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne Barr,Roseanne
880,1992,1993,Best Performance by an Actor in a Television Series - Musical or Comedy,John Goodman,Roseanne
881,1992,1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joan Plowright,Stalin
882,1992,1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maximilian Schell,Stalin
883,1993,1994,Best Performance by an Actress in a Motion Picture - Drama,Holly Hunter,The Piano
884,1993,1994,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Philadelphia
885,1993,1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Angela Bassett,What's Love Got To Do With It
886,1993,1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Mrs. Doubtfire
887,1993,1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Winona Ryder,"Age of Innocence, The"
888,1993,1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tommy Lee Jones,"Fugitive, The"
889,1993,1994,Best Director - Motion Picture,Steven Spielberg,Schindler's List
890,1993,1994,Best Screenplay - Motion Picture,Steven Zaillian,Schindler's List
891,1993,1994,Best Motion Picture - Foreign Language,Farewell My Concubine,"Hong Kong, Chen Kaige"
892,1993,1994,Best Original Score - Motion Picture,Kitarô,Heaven & Earth
893,1993,1994,Best Original Song - Motion Picture,"Streets of Philadelphia, Bruce Springsteen",Philadelphia
894,1993,1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Bette Midler,Gypsy (1993-TV)
895,1993,1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Garner,Barbarians at the Gate
896,1993,1994,Best Performance by an Actress In A Television Series - Drama,Kathy Baker,Picket Fences
897,1993,1994,Best Performance by an Actor In A Television Series - Drama,David Caruso,NYPD Blue
898,1993,1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You
899,1993,1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Jerry Seinfeld,Seinfeld
900,1993,1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Louis-Dreyfus,Seinfeld
901,1993,1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Beau Bridges,"Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom, The"
902,1994,1995,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Blue Sky
903,1994,1995,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Forrest Gump
904,1994,1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,True Lies
905,1994,1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Four Weddings and a Funeral
906,1994,1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Bullets Over Broadway
907,1994,1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Ed Wood
908,1994,1995,Best Director - Motion Picture,Robert Zemeckis,Forrest Gump
909,1994,1995,Best Screenplay - Motion Picture,Quentin Tarantino,Pulp Fiction
910,1994,1995,Best Motion Picture - Foreign Language,Farinelli: Il Castrato,"Belgium, Gérard Corbiau"
911,1994,1995,Best Original Score - Motion Picture,Hans Zimmer,The Lion King
912,1994,1995,Best Original Song - Motion Picture,"Can You Feel the Love Tonight?, Elton John, Tim Rice",The Lion King
913,1994,1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Joanne Woodward,Breathing Lessons
914,1994,1995,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Raul Julia,The Burning Season
915,1994,1995,Best Performance by an Actress In A Television Series - Drama,Claire Danes,My So-Called Life
916,1994,1995,Best Performance by an Actor In A Television Series - Drama,Dennis Franz,NYPD Blue
917,1994,1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You
918,1994,1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Tim Allen,Home Improvement
919,1994,1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Miranda Richardson,Fatherland
920,1994,1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Edward James Olmos,The Burning Season
921,1995,1996,Best Performance by an Actress in a Motion Picture - Drama,Sharon Stone,Casino
922,1995,1996,Best Performance by an Actor in a Motion Picture - Drama,Nicolas Cage,Leaving Las Vegas
923,1995,1996,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nicole Kidman,To Die For
924,1995,1996,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Get Shorty
925,1995,1996,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mira Sorvino,Mighty Aphrodite
