,movie_title,nominee,category,year_released,year_awarded,win
6416,Grace Is Gone,"Grace Is Gone, Clint Eastwood, Carole Bayer Sager",Best Original Song - Motion Picture,2007,2008,False
6417,,Mad Men,Best Television Series - Drama,2007,2008,True
6418,,Big Love,Best Television Series - Drama,2007,2008,False
6419,,Damages,Best Television Series - Drama,2007,2008,False
6420,,Grey's Anatomy,Best Television Series - Drama,2007,2008,False
6421,,House,Best Television Series - Drama,2007,2008,False
6422,,"Tudors, The",Best Television Series - Drama,2007,2008,False
6423,,Extras,Best Television Series - Musical or Comedy,2007,2008,True
6424,,Pushing Daisies,Best Television Series - Musical or Comedy,2007,2008,False
6425,,30 Rock,Best Television Series - Musical or Comedy,2007,2008,False
6426,,Californication,Best Television Series - Musical or Comedy,2007,2008,False
6427,,Entourage,Best Television Series - Musical or Comedy,2007,2008,False
6428,,Longford,Best Television Limited Series or Motion Picture Made for Television,2007,2008,True
6429,,Bury My Heart at Wounded Knee,Best Television Limited Series or Motion Picture Made for Television,2007,2008,False
6430,,The Company,Best Television Limited Series or Motion Picture Made for Television,2007,2008,False
6431,,Five Days,Best Television Limited Series or Motion Picture Made for Television,2007,2008,False
6432,,The State Within,Best Television Limited Series or Motion Picture Made for Television,2007,2008,False
6433,Life Support,Queen Latifah,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2007,2008,True
6434,Pictures of Hollis Woods,Sissy Spacek,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6435,Jane Eyre,Ruth Wilson,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6436,As You Like It,Bryce Dallas Howard,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6437,"Starter Wife, The",Debra Messing,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6438,Longford,Jim Broadbent,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2007,2008,True
6439,Bury My Heart at Wounded Knee,Adam Beach,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6440,"Grandpa for Christmas, A",Ernest Borgnine,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6441,The State Within,Jason Isaacs,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6442,Jekyll,James Nesbitt,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2007,2008,False
6443,Damages,Glenn Close,Best Performance by an Actress In A Television Series - Drama,2007,2008,True
6444,"Sopranos, The",Edie Falco,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6445,Brothers & Sisters,Sally Field,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6446,Saving Grace,Holly Hunter,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6447,"Closer, The",Kyra Sedgwick,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6448,Medium,Patricia Arquette,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6449,"Riches, The",Minnie Driver,Best Performance by an Actress In A Television Series - Drama,2007,2008,False
6450,Mad Men,Jon Hamm,Best Performance by an Actor In A Television Series - Drama,2007,2008,True
6451,Dexter,Michael C. Hall,Best Performance by an Actor In A Television Series - Drama,2007,2008,False
6452,House,Hugh Laurie,Best Performance by an Actor In A Television Series - Drama,2007,2008,False
6453,"Tudors, The",Jonathan Rhys Meyers,Best Performance by an Actor In A Television Series - Drama,2007,2008,False
6454,Big Love,Bill Paxton,Best Performance by an Actor In A Television Series - Drama,2007,2008,False
6455,30 Rock,Tina Fey,Best Performance by an Actress in a Television Series - Musical or Comedy,2007,2008,True
6456,Samantha Who?,Christina Applegate,Best Performance by an Actress in a Television Series - Musical or Comedy,2007,2008,False
6457,Ugly Betty,America Ferrera,Best Performance by an Actress in a Television Series - Musical or Comedy,2007,2008,False
6458,Pushing Daisies,Anna Friel,Best Performance by an Actress in a Television Series - Musical or Comedy,2007,2008,False
6459,Weeds,Mary-Louise Parker,Best Performance by an Actress in a Television Series - Musical or Comedy,2007,2008,False
6460,Californication,David Duchovny,Best Performance by an Actor in a Television Series - Musical or Comedy,2007,2008,True
6461,"Office, The",Steve Carell,Best Performance by an Actor in a Television Series - Musical or Comedy,2007,2008,False
6462,Extras,Ricky Gervais,Best Performance by an Actor in a Television Series - Musical or Comedy,2007,2008,False
6463,Pushing Daisies,Lee Pace,Best Performance by an Actor in a Television Series - Musical or Comedy,2007,2008,False
6464,30 Rock,Alec Baldwin,Best Performance by an Actor in a Television Series - Musical or Comedy,2007,2008,False
6465,Longford,Samantha Morton,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,True
6466,Damages,Rose Byrne,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6467,Brothers & Sisters,Rachel Griffiths,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6468,Grey's Anatomy,Katherine Heigl,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6469,Bury My Heart at Wounded Knee,Anna Paquin,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6470,My Name Is Earl,Jaime Pressly,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6471,Entourage,Jeremy Piven,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,True
6472,Damages,Ted Danson,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
