,movie_title,nominee,category,year_released,year_awarded,win
0,For Whom The Bell Tolls,Katina Paxinou,Best Performance by an Actress in a Supporting Role in any Motion Picture,1943,1944,True
1,For Whom The Bell Tolls,Akim Tamiroff,Best Performance by an Actor in a Supporting Role in any Motion Picture,1943,1944,True
2,The Song Of Bernadette,Henry King,Best Director - Motion Picture,1943,1944,True
3,,The Song Of Bernadette,Picture,1943,1944,True
4,The Song Of Bernadette,Jennifer Jones,Actress In A Leading Role,1943,1944,True
5,Watch On The Rhine,Paul Lukas,Actor In A Leading Role,1943,1944,True
6,Mrs. Parkington,Agnes Moorehead,Best Performance by an Actress in a Supporting Role in any Motion Picture,1944,1945,True
7,Going My Way,Barry Fitzgerald,Best Performance by an Actor in a Supporting Role in any Motion Picture,1944,1945,True
8,Going My Way,Leo McCarey,Best Director - Motion Picture,1944,1945,True
9,,Going My Way,Picture,1944,1945,True
10,Gaslight,Ingrid Bergman,Actress In A Leading Role,1944,1945,True
11,Wilson,Alexander Knox,Actor In A Leading Role,1944,1945,True
12,The Picture of Dorian Gray,Angela Lansbury,Best Performance by an Actress in a Supporting Role in any Motion Picture,1945,1946,True
13,A Medal For Benny,J. Carroll Naish,Best Performance by an Actor in a Supporting Role in any Motion Picture,1945,1946,True
14,The Lost Weekend,Billy Wilder,Best Director - Motion Picture,1945,1946,True
15,The House I Live In,Frank Sinatra,Promoting International Understanding,1945,1946,True
16,,The Lost Weekend,Picture,1945,1946,True
17,The Bells of St. Mary's,Ingrid Bergman,Actress In A Leading Role,1945,1946,True
18,The Lost Weekend,Ray Milland,Actor In A Leading Role,1945,1946,True
19,The Razor's Edge,Anne Baxter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1946,1947,True
20,The Razor's Edge,Clifton Webb,Best Performance by an Actor in a Supporting Role in any Motion Picture,1946,1947,True
21,It's A Wonderful Life,Frank Capra,Best Director - Motion Picture,1946,1947,True
22,The Last Chance,"Switzerland, Leopold Lindtberg",Promoting International Understanding,1946,1947,True
23,The Best Years Of Our Lives,Harold Russell,Special Achievement Award,1946,1947,False
24,,The Best Years Of Our Lives,Picture,1946,1947,True
25,Sister Kenny,Rosalind Russell,Actress In A Leading Role,1946,1947,True
26,The Yearling,Gregory Peck,Actor In A Leading Role,1946,1947,True
27,Gentleman's Agreement,Celeste Holm,Best Performance by an Actress in a Supporting Role in any Motion Picture,1947,1948,True
28,Miracle On 34th Street,Edmund Gwenn,Best Performance by an Actor in a Supporting Role in any Motion Picture,1947,1948,True
29,Gentleman's Agreement,Elia Kazan,Best Director - Motion Picture,1947,1948,True
30,Miracle On 34th Street,George Seaton,Best Screenplay - Motion Picture,1947,1948,True
31,Life With Father,Max Steiner,Best Original Score - Motion Picture,1947,1948,True
32,Bambi,Walt Disney,Special Achievement Award,1947,1948,False
33,That Hagen Girl,Lois Maxwell,New Star Of The Year - Actress,1947,1948,True
34,Kiss Of Death,Richard Widmark,New Star Of The Year - Actor,1947,1948,True
35,,Gentleman's Agreement,Picture,1947,1948,True
36,Gentleman's Agreement,Dean Stockwell,Juvenile Performance,1947,1948,True
37,Mourning Becomes Electra,Rosalind Russell,Actress In A Leading Role,1947,1948,True
38,A Double Life,Ronald Colman,Actor In A Leading Role,1947,1948,True
39,Black Narcissus,Jack Cardiff,Cinematography,1947,1948,True
40,I Remember Mama,Ellen Corby,Best Performance by an Actress in a Supporting Role in any Motion Picture,1948,1949,True
41,The Treasure of the Sierra Madre,Walter Huston,Best Performance by an Actor in a Supporting Role in any Motion Picture,1948,1949,True
42,The Treasure of the Sierra Madre,John Huston,Best Director - Motion Picture,1948,1949,True
43,The Search,Richard Schweizer,Best Screenplay - Motion Picture,1948,1949,True
44,The Red Shoes,Brian Easdale,Best Original Score - Motion Picture,1948,1949,True
45,The Search,Fred Zinnemann,Promoting International Understanding,1948,1949,True
46,,Johnny Belinda,Picture,1948,1949,True
47,,The Treasure of the Sierra Madre,Picture,1948,1949,True
48,The Search,Ivan Jandl,Juvenile Performance,1948,1949,True
49,Johnny Belinda,Jane Wyman,Actress In A Leading Role,1948,1949,True
50,Hamlet (1948),Laurence Olivier,Actor In A Leading Role,1948,1949,True
51,Hamlet (1948),"United Kingdom, Laurence Olivier",Foreign Film - English Language,1948,1949,True
52,The Pearl,Gabriel Figueroa,Cinematography,1948,1949,True
53,All The King's Men,Mercedes McCambridge,Best Performance by an Actress in a Supporting Role in any Motion Picture,1949,1950,True
54,The Heiress,Miriam Hopkins,Best Performance by an Actress in a Supporting Role in any Motion Picture,1949,1950,False
55,Battleground,James Whitmore,Best Performance by an Actor in a Supporting Role in any Motion Picture,1949,1950,True
56,Intruder In The Dust,David Brian,Best Performance by an Actor in a Supporting Role in any Motion Picture,1949,1950,False
57,All The King's Men,Robert Rossen,Best Director - Motion Picture,1949,1950,True
58,The Heiress,William Wyler,Best Director - Motion Picture,1949,1950,False
59,Battleground,Robert Pirosh,Best Screenplay - Motion Picture,1949,1950,True
60,Rope of Sand,Walter Doniger,Best Screenplay - Motion Picture,1949,1950,False
61,"Italy, Vittorio De Sica",The Bicycle Thief,Best Motion Picture - Foreign Language,1949,1950,True
62,"United Kingdom, Carol Reed",The Fallen Idol,Best Motion Picture - Foreign Language,1949,1950,False
63,The Inspector General,Johnny Green,Best Original Score - Motion Picture,1949,1950,True
64,All The King's Men,George Duning,Best Original Score - Motion Picture,1949,1950,False
65,The Hasty Heart,Vincent Sherman,Promoting International Understanding,1949,1950,True
66,Monsieur Vincent,Maurice Cloche,Promoting International Understanding,1949,1950,False
67,All The King's Men,Mercedes McCambridge,New Star Of The Year - Actress,1949,1950,True
68,Champion,Ruth Roman,New Star Of The Year - Actress,1949,1950,False
69,The Hasty Heart,Richard Todd,New Star Of The Year - Actor,1949,1950,True
70,Intruder In The Dust,Juano Hernandez,New Star Of The Year - Actor,1949,1950,False
71,,The Adventures of Ichabod and Mr. Toad,Outstanding Use Of Color,1949,1950,True
72,,On The Town,Outstanding Use Of Color,1949,1950,False
73,,All The King's Men,Picture,1949,1950,True
74,,Come To The Stable,Picture,1949,1950,False
75,The Heiress,Olivia de Havilland,Actress In A Leading Role,1949,1950,True
76,"Edward, My Son",Deborah Kerr,Actress In A Leading Role,1949,1950,False
77,All The King's Men,Broderick Crawford,Actor In A Leading Role,1949,1950,True
78,The Hasty Heart,Richard Todd,Actor In A Leading Role,1949,1950,False
79,Champion,Franz F. Planer,Cinematography,1949,1950,True
80,All The King's Men,Burnett Guffey,Cinematography,1949,1950,False
81,Sunset Boulevard,Gloria Swanson,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,True
82,All About Eve,Bette Davis,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,False
83,Born Yesterday,Judy Holliday,Best Performance by an Actress in a Motion Picture - Drama,1950,1951,False
84,Cyrano de Bergerac (1950),José Ferrer,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,True
85,The Magnificent Yankee,Louis Calhern,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,False
86,Harvey,James Stewart,Best Performance by an Actor in a Motion Picture - Drama,1950,1951,False
87,Three Little Words,Fred Astaire,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,True
88,When Willie Comes Marching Home,Dan Dailey,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,False
89,The Sin Of Harold Diddlebock,Harold Lloyd,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1950,1951,False
90,Harvey,Josephine Hull,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,True
91,Adam's Rib,Judy Holliday,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,False
92,All About Eve,Thelma Ritter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1950,1951,False
93,Mister 880,Edmund Gwenn,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,True
94,Sunset Boulevard,Erich von Stroheim,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,False
95,All About Eve,George Sanders,Best Performance by an Actor in a Supporting Role in any Motion Picture,1950,1951,False
96,Sunset Boulevard,Billy Wilder,Best Director - Motion Picture,1950,1951,True
97,Born Yesterday,George Cukor,Best Director - Motion Picture,1950,1951,False
98,The Asphalt Jungle,John Huston,Best Director - Motion Picture,1950,1951,False
99,All About Eve,Joseph L. Mankiewicz,Best Director - Motion Picture,1950,1951,False
100,All About Eve,Joseph L. Mankiewicz,Best Screenplay - Motion Picture,1950,1951,True
101,Sunset Boulevard,"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",Best Screenplay - Motion Picture,1950,1951,False
102,The Asphalt Jungle,"Ben Maddow, John Huston",Best Screenplay - Motion Picture,1950,1951,False
103,Sunset Boulevard,Franz Waxman,Best Original Score - Motion Picture,1950,1951,True
104,Destination Moon,Leith Stevens,Best Original Score - Motion Picture,1950,1951,False
105,A Life Of Her Own,Bronislau Kaper,Best Original Score - Motion Picture,1950,1951,False
106,Broken Arrow,Delmer Daves,Promoting International Understanding,1950,1951,True
107,The Big Lift,George Seaton,Promoting International Understanding,1950,1951,False
108,The Next Voice You Hear...,William A. Wellman,Promoting International Understanding,1950,1951,False
109,Tea For Two,Gene Nelson,New Star Of The Year,1950,1951,True
110,Cyrano de Bergerac (1950),Mala Powers,New Star Of The Year,1950,1951,False
111,Three Little Words,Debbie Reynolds,New Star Of The Year,1950,1951,False
112,,Sunset Boulevard,Picture,1950,1951,True
113,,Born Yesterday,Picture,1950,1951,False
114,,Cyrano de Bergerac (1950),Picture,1950,1951,False
115,Born Yesterday,Judy Holliday,Actress In A Leading Role - Musical Or Comedy,1950,1951,True
116,Louisa,Spring Byington,Actress In A Leading Role - Musical Or Comedy,1950,1951,False
117,Annie Get Your Gun,Betty Hutton,Actress In A Leading Role - Musical Or Comedy,1950,1951,False
118,,Gregory Peck,Henrietta Award (World Film Favorites),1950,1951,True
119,,Jane Wyman,Henrietta Award (World Film Favorites),1950,1951,True
120,King Solomon's Mines,Robert L. Surtees,Cinematography - Color,1950,1951,True
121,Broken Arrow,Ernest Palmer,Cinematography - Color,1950,1951,False
122,Samson and Delilah,George Barnes,Cinematography - Color,1950,1951,False
123,Cyrano de Bergerac (1950),Franz F. Planer,Cinematography - Black And White,1950,1951,True
124,The Asphalt Jungle,Harold Rosson,Cinematography - Black And White,1950,1951,False
125,Sunset Boulevard,John F. Seitz,Cinematography - Black And White,1950,1951,False
126,,A Place In The Sun,Best Motion Picture - Drama,1951,1952,True
127,,Quo Vadis?,Best Motion Picture - Drama,1951,1952,False
128,,A Streetcar Named Desire (1951),Best Motion Picture - Drama,1951,1952,False
129,,Bright Victory,Best Motion Picture - Drama,1951,1952,False
130,,Detective Story,Best Motion Picture - Drama,1951,1952,False
131,,An American In Paris,Best Motion Picture - Musical or Comedy,1951,1952,True
132,The Blue Veil,Jane Wyman,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,True
133,A Streetcar Named Desire (1951),Vivien Leigh,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,False
134,A Place In The Sun,Shelley Winters,Best Performance by an Actress in a Motion Picture - Drama,1951,1952,False
135,Death of a Salesman (1951),Fredric March,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,True
136,Detective Story,Kirk Douglas,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,False
137,Bright Victory,Arthur Kennedy,Best Performance by an Actor in a Motion Picture - Drama,1951,1952,False
138,On The Riviera,Danny Kaye,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,True
139,Here Comes The Groom,Bing Crosby,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,False
140,An American In Paris,Gene Kelly,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1951,1952,False
141,A Streetcar Named Desire (1951),Kim Hunter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,True
142,Detective Story,Lee Grant,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,False
143,"Mating Season, The",Thelma Ritter,Best Performance by an Actress in a Supporting Role in any Motion Picture,1951,1952,False
144,Quo Vadis?,Peter Ustinov,Best Performance by an Actor in a Supporting Role in any Motion Picture,1951,1952,True
145,Death of a Salesman (1951),Laslo Benedek,Best Director - Motion Picture,1951,1952,True
146,An American In Paris,Vincente Minnelli,Best Director - Motion Picture,1951,1952,False
147,A Place In The Sun,George Stevens,Best Director - Motion Picture,1951,1952,False
148,Bright Victory,Robert Buckner,Best Screenplay - Motion Picture,1951,1952,True
149,September Affair,Victor Young,Best Original Score - Motion Picture,1951,1952,True
150,The Day The Earth Stood Still,Bernard Herrmann,Best Original Score - Motion Picture,1951,1952,False
151,The Well,Dimitri Tiomkin,Best Original Score - Motion Picture,1951,1952,False
152,The Day The Earth Stood Still,Robert Wise,Promoting International Understanding,1951,1952,True
153,Pictura ,Alain Resnais,Special Achievement Award,1951,1952,False
154,Teresa,Pier Angeli,New Star Of The Year - Actress,1951,1952,True
155,Death of a Salesman (1951),Kevin McCarthy,New Star Of The Year - Actor,1951,1952,True
156,Too Young To Kiss,June Allyson,Actress In A Leading Role - Musical Or Comedy,1951,1952,True
157,,Esther Williams,Henrietta Award (World Film Favorite),1951,1952,True
158,,Alan Ladd,Henrietta Award (World Film Favorite),1951,1952,True
159,Quo Vadis?,William V. Skall,Cinematography - Color,1951,1952,True
160,Death of a Salesman (1951),Franz F. Planer,Cinematography - Black And White,1951,1952,True
161,Decision Before Dawn,Franz F. Planer,Cinematography - Black And White,1951,1952,False
162,A Place In The Sun,William C. Mellor,Cinematography - Black And White,1951,1952,False
163,,The Greatest Show On Earth,Best Motion Picture - Drama,1952,1953,True
164,,"Come Back, Little Sheba",Best Motion Picture - Drama,1952,1953,False
165,,The Happy Time,Best Motion Picture - Drama,1952,1953,False
166,,High Noon,Best Motion Picture - Drama,1952,1953,False
167,,The Thief,Best Motion Picture - Drama,1952,1953,False
168,,With a Song in My Heart,Best Motion Picture - Musical or Comedy,1952,1953,True
169,,Hans Christian Andersen,Best Motion Picture - Musical or Comedy,1952,1953,False
170,,I'll See You in My Dreams,Best Motion Picture - Musical or Comedy,1952,1953,False
171,,Singin' in the Rain,Best Motion Picture - Musical or Comedy,1952,1953,False
172,,Star and Stripes Forever,Best Motion Picture - Musical or Comedy,1952,1953,False
173,"Come Back, Little Sheba",Shirley Booth,Best Performance by an Actress in a Motion Picture - Drama,1952,1953,True
174,Sudden Fear,Joan Crawford,Best Performance by an Actress in a Motion Picture - Drama,1952,1953,False
175,My Cousin Rachel,Olivia de Havilland,Best Performance by an Actress in a Motion Picture - Drama,1952,1953,False
176,High Noon,Gary Cooper,Best Performance by an Actor in a Motion Picture - Drama,1952,1953,True
177,The Happy Time,Charles Boyer,Best Performance by an Actor in a Motion Picture - Drama,1952,1953,False
178,The Thief,Ray Milland,Best Performance by an Actor in a Motion Picture - Drama,1952,1953,False
179,Singin' in the Rain,Donald O'Connor,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1952,1953,True
180,Hans Christian Andersen,Danny Kaye,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1952,1953,False
181,Stars and Stripes Forever,Clifton Webb,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1952,1953,False
182,High Noon,Katy Jurado,Best Performance by an Actress in a Supporting Role in any Motion Picture,1952,1953,True
183,Viva Zapata!,Mildred Dunnock,Best Performance by an Actress in a Supporting Role in any Motion Picture,1952,1953,False
184,"Bad and The Beautiful, The",Gloria Grahame,Best Performance by an Actress in a Supporting Role in any Motion Picture,1952,1953,False
185,My Six Convicts,Millard Mitchell,Best Performance by an Actor in a Supporting Role in any Motion Picture,1952,1953,True
186,The Happy Time,Kurt Kasznar,Best Performance by an Actor in a Supporting Role in any Motion Picture,1952,1953,False
187,"Bad and The Beautiful, The",Gilbert Roland,Best Performance by an Actor in a Supporting Role in any Motion Picture,1952,1953,False
188,The Greatest Show On Earth,Cecil B. deMille,Best Director - Motion Picture,1952,1953,True
189,The Happy Time,Richard Fleischer,Best Director - Motion Picture,1952,1953,False
190,The Quiet Man,John Ford,Best Director - Motion Picture,1952,1953,False
191,5 Fingers,Michael Wilson,Best Screenplay - Motion Picture,1952,1953,True
192,The Thief,Clarence Greene,Best Screenplay - Motion Picture,1952,1953,False
193,High Noon,Carl Foreman,Best Screenplay - Motion Picture,1952,1953,False
194,High Noon,Dimitri Tiomkin,Best Original Score - Motion Picture,1952,1953,True
195,Ivanhoe,Miklos Rozsa,Best Original Score - Motion Picture,1952,1953,False
196,The Quiet Man,Victor Young,Best Original Score - Motion Picture,1952,1953,False
197,,Walt Disney,Cecil B. deMille Award,1952,1953,False
198,,Stanley Kramer,Cecil B. deMille Award,1952,1953,False
199,,Adolph Zukor,Cecil B. deMille Award,1952,1953,False
200,Anything Can Happen,George Seaton,Promoting International Understanding,1952,1953,True
201,Assignment: Paris,Robert Parrish,Promoting International Understanding,1952,1953,False
202,Ivanhoe,Richard Thorpe,Promoting International Understanding,1952,1953,False
203,Navajo,Francis Kee Teller,Special Achievement Award,1952,1953,False
204,Moulin Rouge,Colette Marchand,New Star Of The Year - Actress,1952,1953,True
205,The Thief,Rita Gam,New Star Of The Year - Actress,1952,1953,False
206,High Noon,Katy Jurado,New Star Of The Year - Actress,1952,1953,False
207,My Cousin Rachel,Richard Burton,New Star Of The Year - Actor,1952,1953,True
208,Pat and Mike,Aldo Ray,New Star Of The Year - Actor,1952,1953,False
209,Stars and Stripes Forever,Robert Wagner,New Star Of The Year - Actor,1952,1953,False
210,"Member of the Wedding, The",Brandon de Wilde,Juvenile Performance,1952,1953,True
211,Navajo,Francis Kee Teller,Juvenile Performance,1952,1953,False
212,My Pal Gus,George Winslow,Juvenile Performance,1952,1953,False
213,With a Song in My Heart,Susan Hayward,Actress In A Leading Role - Musical Or Comedy,1952,1953,True
214,Pat and Mike,Katharine Hepburn,Actress In A Leading Role - Musical Or Comedy,1952,1953,False
215,Monkey Business,Ginger Rogers,Actress In A Leading Role - Musical Or Comedy,1952,1953,False
216,,Susan Hayward,Henrietta Award (World Film Favorites),1952,1953,True
217,,John Wayne,Henrietta Award (World Film Favorites),1952,1953,True
218,The Greatest Show On Earth,George Barnes,Cinematography - Color,1952,1953,True
219,High Noon,Floyd Crosby,Cinematography - Black And White,1952,1953,True
220,"Four Poster, The",Hal Mohr,Cinematography - Black And White,1952,1953,False
221,The Thief,Sam Leavitt,Cinematography - Black And White,1952,1953,False
222,,"Robe, The",Best Motion Picture - Drama,1953,1954,True
223,Roman Holiday,Audrey Hepburn,Best Performance by an Actress in a Motion Picture - Drama,1953,1954,True
224,"Actress, The",Spencer Tracy,Best Performance by an Actor in a Motion Picture - Drama,1953,1954,True
225,The Moon Is Blue,David Niven,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1953,1954,True
226,Mogambo,Grace Kelly,Best Performance by an Actress in a Supporting Role in any Motion Picture,1953,1954,True
227,From Here to Eternity,Frank Sinatra,Best Performance by an Actor in a Supporting Role in any Motion Picture,1953,1954,True
228,From Here to Eternity,Fred Zinnemann,Best Director - Motion Picture,1953,1954,True
229,Lili,Helen Deutsch,Best Screenplay - Motion Picture,1953,1954,True
230,,Darryl F. Zanuck,Cecil B. deMille Award,1953,1954,False
231,Little Boy Lost,George Seaton,Promoting International Understanding,1953,1954,True
232,"Living Desert, The",Walt Disney,Special Achievement Award,1953,1954,False
233,Forever Female,Pat Crowley,New Star Of The Year - Actress,1953,1954,True
234,Money From Home,Pat Crowley,New Star Of The Year - Actress,1953,1954,True
235,"Egyptian, The",Bella Darvi,New Star Of The Year - Actress,1953,1954,True
236,Hell and High Water,Bella Darvi,New Star Of The Year - Actress,1953,1954,True
237,It Came From Outer Space,Barbara Rush,New Star Of The Year - Actress,1953,1954,True
238,Hell and High Water,Barbara Rush,New Star Of The Year - Actress,1953,1954,False
239,Money From Home,Bella Darvi,New Star Of The Year - Actress,1953,1954,False
240,"Glory Brigade, The",Richard Egan,New Star Of The Year - Actor,1953,1954,True
241,"Kid From Left Field, The",Richard Egan,New Star Of The Year - Actor,1953,1954,True
242,So Big,Steve Forrest,New Star Of The Year - Actor,1953,1954,True
243,"Man From The Alamo, The",Hugh O'Brian,New Star Of The Year - Actor,1953,1954,True
244,"Kid From Left Field, The",Steve Forrest,New Star Of The Year - Actor,1953,1954,False
245,Call Me Madam,Ethel Merman,Actress In A Leading Role - Musical Or Comedy,1953,1954,True
246,,Alan Ladd,Henrietta Award (World Film Favorites),1953,1954,True
247,,Marilyn Monroe,Henrietta Award (World Film Favorites),1953,1954,True
248,,Robert Taylor,Henrietta Award (World Film Favorites),1953,1954,True
249,,"Queen Is Crowned, A",Documentary,1953,1954,True
250,,On the Waterfront,Best Motion Picture - Drama,1954,1955,True
251,,Carmen Jones,Best Motion Picture - Musical or Comedy,1954,1955,True
252,"Country Girl, The",Grace Kelly,Best Performance by an Actress in a Motion Picture - Drama,1954,1955,True
253,On the Waterfront,Marlon Brando,Best Performance by an Actor in a Motion Picture - Drama,1954,1955,True
254,"Star is Born, A (1954)",James Mason,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1954,1955,True
255,"High and The Mighty, The",Jan Sterling,Best Performance by an Actress in a Supporting Role in any Motion Picture,1954,1955,True
256,"Barefoot Contessa, The",Edmond O'Brien,Best Performance by an Actor in a Supporting Role in any Motion Picture,1954,1955,True
257,On the Waterfront,Elia Kazan,Best Director - Motion Picture,1954,1955,True
258,Sabrina,Ernest Lehman,Best Screenplay - Motion Picture,1954,1955,True
259,"United Kingdom, Henry Cornelius",Genevieve,Best Motion Picture - Foreign Language,1954,1955,True
260,"Argentina, Ernesto Arancibia",The Lady Of The Camelias,Best Motion Picture - Foreign Language,1954,1955,True
261,"West Germany, Victor Vicas",No Way Back,Best Motion Picture - Foreign Language,1954,1955,True
262,"Japan, Keisuke Kinoshita",Twenty-Four Eyes,Best Motion Picture - Foreign Language,1954,1955,True
263,,Jean Hersholt,Cecil B. deMille Award,1954,1955,False
264,Broken Lance,Edward Dmytryk,Promoting International Understanding,1954,1955,True
265,"Trouble With Harry, The",Shirley MacLaine,New Star Of The Year - Actress,1954,1955,True
266,Phffft!,Kim Novak,New Star Of The Year - Actress,1954,1955,True
267,"High and The Mighty, The",Karen Sharpe,New Star Of The Year - Actress,1954,1955,True
268,Carmen Jones,Joe Adams,New Star Of The Year - Actor,1954,1955,True
269,Four Guns to the Border,George Nader,New Star Of The Year - Actor,1954,1955,True
270,Seven Brides for Seven Brothers,Jeff Richards,New Star Of The Year - Actor,1954,1955,True
271,"Star is Born, A (1954)",Judy Garland,Actress In A Leading Role - Musical Or Comedy,1954,1955,True
272,,Audrey Hepburn,Henrietta Award (World Film Favorites),1954,1955,True
273,,Gregory Peck,Henrietta Award (World Film Favorites),1954,1955,True
274,,June Allyson,Henrietta Award (World Film Favorites),1954,1955,False
275,,Pier Angeli,Henrietta Award (World Film Favorites),1954,1955,False
276,,Marlon Brando,Henrietta Award (World Film Favorites),1954,1955,False
277,,Doris Day,Henrietta Award (World Film Favorites),1954,1955,False
278,,Alan Ladd,Henrietta Award (World Film Favorites),1954,1955,False
279,Brigadoon,Joseph Ruttenberg,Cinematography - Color,1954,1955,True
280,On the Waterfront,Boris Kaufman,Cinematography - Black And White,1954,1955,True
281,,East of Eden,Best Motion Picture - Drama,1955,1956,True
282,,Guys and Dolls,Best Motion Picture - Musical or Comedy,1955,1956,True
283,"Rose Tattoo, The",Anna Magnani,Best Performance by an Actress in a Motion Picture - Drama,1955,1956,True
284,Marty,Ernest Borgnine,Best Performance by an Actor in a Motion Picture - Drama,1955,1956,True
285,"Seven Year Itch, The",Tom Ewell,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1955,1956,True
286,"Rose Tattoo, The",Marisa Pavan,Best Performance by an Actress in a Supporting Role in any Motion Picture,1955,1956,True
287,Trial,Arthur Kennedy,Best Performance by an Actor in a Supporting Role in any Motion Picture,1955,1956,True
288,Picnic,Joshua Logan,Best Director - Motion Picture,1955,1956,True
289,United Kingdom,Dangerous Curves (UK),Best Motion Picture - Foreign Language,1955,1956,True
290,"Japan, Yoshirô Kawazu",Eyes of Children,Best Motion Picture - Foreign Language,1955,1956,True
291,"West Germany, Laslo Benedek","Sons, Mothers And A General",Best Motion Picture - Foreign Language,1955,1956,True
292,"Greece, Michael Cacoyannis",Stella,Best Motion Picture - Foreign Language,1955,1956,True
293,"Denmark, Carl Theodor Dreyer",Ordet,Best Motion Picture - Foreign Language,1955,1956,True
294,,Jack L. Warner,Cecil B. deMille Award,1955,1956,False
295,Love Is A Many-Splendored Thing,Henry King,Promoting International Understanding,1955,1956,True
296,"American Comedy, The",Desi Arnaz,Television Achievement,1955,1956,True
297,Walt Disney's Wonderful World of Color (Davy Crockett),Dinah Shore,Television Achievement,1955,1956,True
298,East of Eden,James Dean,Special Achievement Award,1955,1956,False
299,Blood Alley,Anita Ekberg,New Star Of The Year - Actress,1955,1956,True
300,"Eddy Duchin Story, The",Victoria Shaw,New Star Of The Year - Actress,1955,1956,True
301,"View From Pompey's Head, The",Dana Wynter,New Star Of The Year - Actress,1955,1956,True
302,I'll Cry Tomorrow,Ray Danton,New Star Of The Year - Actor,1955,1956,True
303,Hit The Deck,Russ Tamblyn,New Star Of The Year - Actor,1955,1956,True
304,Guys and Dolls,Jean Simmons,Actress In A Leading Role - Musical Or Comedy,1955,1956,True
305,,Marlon Brando,Henrietta Award (World Film Favorites),1955,1956,True
306,,Grace Kelly,Henrietta Award (World Film Favorites),1955,1956,True
307,,Esther Williams,Hollywood Citizenship Award,1955,1956,True
308,,Around the World in 80 Days,Best Motion Picture - Drama,1956,1957,True
309,,Lust For Life,Best Motion Picture - Drama,1956,1957,False
310,,"Rainmaker, The",Best Motion Picture - Drama,1956,1957,False
311,,War and Peace,Best Motion Picture - Drama,1956,1957,False
312,,Giant,Best Motion Picture - Drama,1956,1957,False
313,,"King and I, The",Best Motion Picture - Musical or Comedy,1956,1957,True
314,,Bus Stop,Best Motion Picture - Musical or Comedy,1956,1957,False
315,,"Opposite Sex, The",Best Motion Picture - Musical or Comedy,1956,1957,False
316,,"Solid Gold Cadillac, The",Best Motion Picture - Musical or Comedy,1956,1957,False
317,,"Teahouse of the August Moon, The",Best Motion Picture - Musical or Comedy,1956,1957,False
318,Baby Doll,Carroll Baker,Best Performance by an Actress in a Motion Picture - Drama,1956,1957,False
319,Anastasia (1956),Ingrid Bergman,Best Performance by an Actress in a Motion Picture - Drama,1956,1957,False
320,Anastasia (1956),Helen Hayes,Best Performance by an Actress in a Motion Picture - Drama,1956,1957,False
321,War and Peace,Audrey Hepburn,Best Performance by an Actress in a Motion Picture - Drama,1956,1957,False
322,"Rainmaker, The",Katharine Hepburn,Best Performance by an Actress in a Motion Picture - Drama,1956,1957,False
323,Lust For Life,Kirk Douglas,Best Performance by an Actor in a Motion Picture - Drama,1956,1957,True
324,Friendly Persuasion,Gary Cooper,Best Performance by an Actor in a Motion Picture - Drama,1956,1957,False
325,"Ten Commandments, The",Charlton Heston,Best Performance by an Actor in a Motion Picture - Drama,1956,1957,False
326,"Rainmaker, The",Burt Lancaster,Best Performance by an Actor in a Motion Picture - Drama,1956,1957,False
327,Baby Doll,Karl Malden,Best Performance by an Actor in a Motion Picture - Drama,1956,1957,False
328,Around the World in 80 Days,Cantinflas,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1956,1957,True
329,"Teahouse of the August Moon, The",Marlon Brando,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1956,1957,False
330,"King and I, The",Yul Brynner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1956,1957,False
331,"Teahouse of the August Moon, The",Glenn Ford,Best Performance by an Actor in a Motion Picture - Musical or Comedy,1956,1957,False
