,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
79,tt0007183,Pikovaya dama,1916,"Drama, Fantasy, Horror",Russia,7.0,"$144,968",7.0,5.0
165,tt0010323,Il gabinetto del dottor Caligari,1920,"Fantasy, Horror, Mystery",Germany,8.1,"$8,811",237.0,160.0
210,tt0011440,Markens grøde,1921,Drama,Norway,6.6,"$4,272",3.0,3.0
222,tt0011741,Suds,1920,"Comedy, Drama, Romance",USA,6.3,"$772,155",9.0,1.0
245,tt0012190,I quattro cavalieri dell'Apocalisse,1921,"Drama, Romance, War",USA,7.2,"$9,183,673",45.0,16.0
251,tt0012349,Il monello,1921,"Comedy, Drama, Family",USA,8.3,"$26,916",173.0,105.0
254,tt0012397,Little Lord Fauntleroy,1921,Drama,USA,6.7,"$1,108,882",7.0,4.0
258,tt0012494,Destino,1921,"Drama, Fantasy, Thriller",Germany,7.7,"$12,156",34.0,43.0
297,tt0013442,Nosferatu - Il vampiro,1922,"Fantasy, Horror",Germany,7.9,"$19,054",419.0,202.0
348,tt0014624,La donna di Parigi,1923,"Drama, Romance",USA,7.0,"$11,233",37.0,24.0
397,tt0015532,Le avventure del principe Achmed,1926,"Animation, Adventure, Family",Germany,7.8,"$100,156",47.0,47.0
401,tt0015648,La corazzata Potemkin,1925,"Drama, History, Thriller",Soviet Union,8.0,"$61,389",210.0,85.0
415,tt0015864,La febbre dell'oro,1925,"Adventure, Comedy, Drama",USA,8.2,"$26,916",190.0,125.0
428,tt0016039,Un mondo perduto,1925,"Adventure, Fantasy, Thriller",USA,7.0,"$2,834,000",84.0,64.0
435,tt0016220,Il fantasma dell'opera,1925,Horror,USA,7.6,"$4,360,000",152.0,99.0
499,tt0017075,Il pensionante,1927,"Crime, Drama, Mystery",UK,7.3,"$83,260",102.0,87.0
506,tt0017136,Metropolis,1927,"Drama, Sci-Fi",Germany,8.3,"$1,349,711",495.0,208.0
580,tt0018192,Napoleone,1927,"Biography, Drama, History",France,8.1,"$39,448",66.0,44.0
600,tt0018455,Aurora,1927,"Drama, Romance",USA,8.1,"$121,107",250.0,186.0
611,tt0018528,Lo sconosciuto,1927,"Drama, Horror, Romance",USA,7.8,"$4,841",109.0,53.0
614,tt0018578,Ali,1927,"Drama, Romance, War",USA,7.5,$746,95.0,92.0
623,tt0018737,Il vaso di Pandora,1929,"Crime, Drama, Romance",Germany,7.9,"$62,686",90.0,85.0
624,tt0018742,Il cameraman,1928,"Comedy, Drama, Family",USA,8.1,"$1,737,460",61.0,49.0
628,tt0018773,Il circo,1928,"Comedy, Romance",USA,8.1,"$26,916",327.0,65.0
656,tt0019130,L'uomo che ride,1928,"Drama, Horror, Mystery",USA,7.7,"$4,347",66.0,40.0
663,tt0019254,La passione di Giovanna d'Arco,1928,"Biography, Drama, History",France,8.1,"$21,877",195.0,137.0
672,tt0019374,Shiraz,1928,"Drama, History, Romance","India, UK, Germany",7.0,"$16,467",4.0,9.0
674,tt0019388,Il cantante pazzo,1928,"Musical, Drama",USA,6.2,"$12,862,000",13.0,6.0
737,tt0019936,Gold Diggers of Broadway,1929,"Comedy, Musical",USA,6.7,"$8,648,060",9.0,2.0
748,tt0019993,Hollywood che canta,1929,"Comedy, Music",USA,5.9,"$5,277,780",44.0,11.0
787,tt0020286,Prapancha Pash,1929,"Adventure, Drama, Romance","UK, India, Germany",6.5,"$2,306",8.0,14.0
856,tt0020697,L'angelo azzurro,1930,"Drama, Music",Germany,7.7,"$4,410",104.0,101.0
925,tt0021106,Madame Satan,1930,"Comedy, Drama, Musical",USA,6.5,"$1,005",43.0,19.0
969,tt0021309,Una volpe a corte,1937,"Animation, Adventure, Comedy",France,7.8,"$2,094",10.0,7.0
1014,tt0021577,L'âge d'or,1930,"Comedy, Drama",France,7.3,"$32,712",57.0,72.0
1017,tt0021595,Alexander Hamilton,1931,"Biography, Drama, History",USA,6.0,"$1,277,480",7.0,4.0
1030,tt0021654,Berlin Alexanderplatz,1931,"Crime, Drama",Germany,6.7,"$2,447",10.0,7.0
1048,tt0021749,Luci della città,1931,"Comedy, Drama, Romance",USA,8.5,"$46,008",295.0,122.0
1067,tt0021814,Dracula,1931,"Drama, Fantasy, Horror",USA,7.5,"$85,204",556.0,163.0
1086,tt0021884,Frankenstein,1931,"Drama, Horror, Romance",USA,7.8,"$1,626",569.0,125.0
1130,tt0022100,M - Il mostro di Düsseldorf,1931,"Crime, Mystery, Thriller",Germany,8.3,"$35,566",359.0,155.0
1138,tt0022125,Marius,1931,"Comedy, Drama, Romance",France,7.9,"$8,262",13.0,26.0
1263,tt0022718,Boudu salvato dalle acque,1932,Comedy,France,7.4,"$2,805",31.0,52.0
1287,tt0022835,Il dottor Jekyll,1931,"Horror, Sci-Fi",USA,7.6,"$16,615",127.0,62.0
1294,tt0022877,Fanny,1932,"Comedy, Drama",France,7.7,"$8,262",12.0,18.0
1301,tt0022913,Freaks,1932,"Drama, Horror",USA,7.9,"$4,072",283.0,158.0
1382,tt0023293,The Old Dark House,1932,"Comedy, Horror, Thriller",USA,7.1,"$34,649",145.0,107.0
1411,tt0023427,Scarface - Lo sfregiato,1932,"Action, Crime, Drama",USA,7.8,"$1,308,000",385.0,86.0
1443,tt0023563,Il testamento del dottor Mabuse,1933,"Crime, Horror, Mystery","Germany, France",8.0,"$27,690",72.0,87.0
1542,tt0023969,La guerra lampo dei Fratelli Marx,1933,"Comedy, Musical, War",USA,7.8,"$103,800",281.0,78.0
1556,tt0024034,42a strada,1933,"Comedy, Musical, Romance",USA,7.4,"$1,600",124.0,74.0
1591,tt0024184,L'uomo invisibile,1933,"Horror, Sci-Fi",USA,7.7,"$27,105",194.0,109.0
1598,tt0024216,King Kong,1933,"Adventure, Horror, Sci-Fi",USA,7.9,$651,511.0,162.0
1606,tt0024252,Amanti folli,1933,"Drama, Romance",Germany,7.5,$852,11.0,17.0
1742,tt0024844,L'Atalante,1934,"Comedy, Drama, Romance",France,7.8,"$9,505",78.0,99.0
1815,tt0025164,Cerco il mio amore,1934,"Comedy, Musical, Romance",USA,7.5,"$6,750",61.0,42.0
1899,tt0025493,La vedova allegra,1934,"Comedy, Musical, Romance",USA,7.2,"$6,014,620",34.0,19.0
1950,tt0025746,L'imperatrice Caterina,1934,"Drama, History, Romance",USA,7.6,"$3,299",51.0,49.0
1987,tt0025907,L'isola del tesoro,1934,"Adventure, Family",USA,7.1,"$4,957,320",32.0,15.0
1988,tt0025919,Ventesimo secolo,1934,"Comedy, Romance",USA,7.4,"$9,800",71.0,50.0
2017,tt0026029,Il club dei 39,1935,"Mystery, Thriller",UK,7.6,"$51,711",249.0,116.0
2048,tt0026138,La moglie di Frankenstein,1935,"Drama, Horror, Sci-Fi",USA,7.8,"$10,493",281.0,120.0
2082,tt0026276,Capriccio spagnolo,1935,"Comedy, Drama, Romance",USA,7.0,"$2,375",39.0,33.0
2118,tt0026424,Le vie della fortuna,1935,"Comedy, Romance",USA,7.5,"$7,478",30.0,18.0
2195,tt0026778,Una notte all'opera,1935,"Comedy, Music, Musical",USA,7.9,"$3,956,700",159.0,52.0
2237,tt0026942,Roberta,1935,"Comedy, Musical, Romance",USA,7.1,"$2,493",67.0,20.0
2331,tt0027387,Nata per danzare,1936,"Musical, Comedy",USA,6.7,"$941,774",42.0,13.0
2334,tt0027407,Le belve della città,1936,"Crime, Drama, Film-Noir",USA,7.0,"$8,605",34.0,16.0
2355,tt0027478,Il delitto del signor Lange,1936,"Comedy, Crime, Drama",France,7.3,"$38,002",15.0,23.0
2361,tt0027489,César,1936,Drama,France,7.6,"$8,262",11.0,22.0
2385,tt0027652,Furia,1936,"Crime, Drama, Film-Noir",USA,7.9,"$11,712",77.0,50.0
2394,tt0027672,Le sorelle del Gion,1936,Drama,Japan,7.5,"$17,807",18.0,29.0
2454,tt0027977,Tempi moderni,1936,"Comedy, Drama, Family",USA,8.5,"$457,688",307.0,115.0
2455,tt0027978,Mio padre aveva ragione,1936,Comedy,France,6.6,"$3,337",5.0,2.0
2542,tt0028333,Follie d'inverno,1936,"Comedy, Musical, Romance",USA,7.6,"$4,961",98.0,74.0
2687,tt0028950,La grande illusione,1937,"Drama, War",France,8.1,"$19,821",136.0,136.0
2773,tt0029322,Nulla sul serio,1937,"Comedy, Drama, Fantasy",USA,6.9,"$3,765",114.0,57.0
2795,tt0029453,Il bandito della Casbah,1937,"Crime, Drama, Romance",France,7.7,"$155,895",46.0,55.0
2816,tt0029546,Voglio danzare con te,1937,"Comedy, Musical, Romance",USA,7.5,"$6,662",60.0,23.0
2827,tt0029583,Biancaneve e i sette nani,1937,"Animation, Family, Fantasy",USA,7.6,"$184,925,486",260.0,173.0
2900,tt0029850,Alessandro Nevsky,1938,"Action, Biography, Drama",Soviet Union,7.6,"$2,226",94.0,48.0
2925,tt0029947,Susanna!,1938,"Comedy, Family, Romance",USA,7.9,"$11,180",299.0,89.0
2969,tt0030127,La moglie del fornaio,1938,"Comedy, Drama",France,7.5,"$4,991",13.0,16.0
3003,tt0030241,Incantesimo,1938,"Comedy, Romance",USA,7.8,"$14,486",103.0,64.0
3022,tt0030341,La signora scompare,1938,"Mystery, Thriller",UK,7.8,"$39,776",225.0,103.0
3076,tt0030643,Il porto delle nebbie,1938,"Crime, Drama, Romance",France,7.8,"$39,623",53.0,53.0
3184,tt0031067,Situazione imbarazzante,1939,"Comedy, Romance",USA,7.6,"$4,149",52.0,31.0
3236,tt0031252,La più grande avventura,1939,"Drama, History, Romance",USA,7.1,"$10,360",80.0,48.0
3248,tt0031302,La ragazza della quinta strada,1939,"Comedy, Romance",USA,6.8,"$9,636",27.0,9.0
3266,tt0031381,Via col vento,1939,"Drama, History, Romance",USA,8.1,"$402,352,579",881.0,197.0
3304,tt0031507,Jess il bandito,1939,"Biography, Crime, Drama",USA,7.0,"$3,444",54.0,30.0
3305,tt0031514,Alba tragica,1939,"Crime, Drama, Romance",France,7.8,"$35,321",32.0,42.0
3340,tt0031647,La signora di mezzanotte,1939,"Comedy, Romance",USA,7.9,"$12,513",56.0,23.0
3348,tt0031679,Mr. Smith va a Washington,1939,"Comedy, Drama",USA,8.1,"$144,738",296.0,88.0
3369,tt0031762,Avventurieri dell'aria,1939,"Adventure, Drama, Romance",USA,7.7,"$8,554",77.0,95.0
3389,tt0031885,La regola del gioco,1939,"Comedy, Drama",France,8.0,"$273,641",104.0,114.0
3419,tt0032007,Il figlio di Tarzan,1939,"Action, Adventure, Family",USA,6.6,"$4,551,840",20.0,19.0
3451,tt0032138,Il mago di Oz,1939,"Adventure, Family, Fantasy",USA,8.0,"$26,142,032",688.0,168.0
3453,tt0032143,Donne,1939,"Comedy, Drama",USA,7.8,"$16,161",223.0,70.0
3454,tt0032145,Cime tempestose,1939,"Drama, Romance",USA,7.6,"$624,643",133.0,33.0
3459,tt0032156,La storia dell'ultimo crisantemo,1939,"Drama, Romance",Japan,7.9,"$6,125",14.0,37.0
3525,tt0032359,Segnali nella nebbia,1940,"Drama, War",UK,6.2,GBP 50000,3.0,1.0
3531,tt0032384,Da Mayerling a Sarajevo,1940,Drama,France,6.7,"$5,247",4.0,5.0
3540,tt0032413,Un uomo contro la morte,1940,"Biography, Drama",USA,7.4,$205,35.0,11.0
3553,tt0032455,Fantasia,1940,"Animation, Family, Fantasy",USA,7.8,"$76,411,401",342.0,119.0
3575,tt0032553,Il grande dittatore,1940,"Comedy, Drama, War",USA,8.4,"$969,879",267.0,141.0
3618,tt0032701,Ombre malesi,1940,"Crime, Drama, Film-Noir",USA,7.6,"$16,455",129.0,60.0
3637,tt0032762,Il segno di Zorro,1940,"Action, Adventure, Romance",USA,7.5,"$3,424",88.0,49.0
3671,tt0032904,Scandalo a Filadelfia,1940,"Comedy, Romance",USA,7.9,"$411,442",221.0,128.0
3672,tt0032910,Pinocchio,1940,"Animation, Comedy, Family",USA,7.4,"$121,892,045",202.0,140.0
3679,tt0032976,Rebecca - La prima moglie,1940,"Drama, Mystery, Romance",USA,8.1,"$72,275",339.0,200.0
3698,tt0033045,Scrivimi fermo posta,1940,"Comedy, Drama, Romance",USA,8.1,"$36,368",161.0,65.0
3751,tt0033238,Il ponte di Waterloo,1940,"Drama, Romance, War",USA,7.8,"$31,111",102.0,17.0
3816,tt0033467,Quarto potere,1941,"Drama, Mystery",USA,8.3,"$1,594,107",1452.0,248.0
3844,tt0033563,Dumbo,1941,"Animation, Drama, Family",USA,7.2,"$3,731",173.0,130.0
3880,tt0033704,Hellzapoppin',1941,"Comedy, Music",USA,7.5,"$4,982",59.0,30.0
3920,tt0033804,Lady Eva,1941,"Comedy, Romance",USA,7.8,"$13,020",145.0,102.0
3940,tt0033870,Il mistero del falco,1941,"Film-Noir, Mystery",USA,8.0,"$1,255",416.0,134.0
4010,tt0034162,Il lupo dei mari,1941,"Adventure, Drama",USA,7.5,"$6,192",52.0,28.0
4012,tt0034167,Il sergente York,1941,"Biography, Drama, History",USA,7.7,"$16,364,924",115.0,42.0
4034,tt0034240,I dimenticati,1941,"Adventure, Comedy, Drama",USA,7.9,"$10,249",156.0,107.0
4080,tt0034398,L'uomo lupo,1941,Horror,USA,7.3,$420,221.0,115.0
4104,tt0034492,Bambi,1942,"Animation, Drama, Family",USA,7.3,"$267,447,150",181.0,118.0
4126,tt0034583,Casablanca,1942,"Drama, Romance, War",USA,8.5,"$4,374,761",1303.0,196.0
4202,tt0034928,Il libro della giungla,1942,"Action, Adventure, Family","USA, UK",6.7,"$3,905,444",33.0,20.0
4206,tt0034936,Prigioniera di un segreto,1942,"Drama, Mystery",USA,6.8,"$15,392",54.0,15.0
4208,tt0034946,Delitti senza castigo,1942,"Drama, Mystery, Romance",USA,7.5,"$5,093,000",72.0,19.0
4332,tt0035419,Tarzan a New York,1942,"Action, Adventure",USA,6.6,"$5,927,420",28.0,22.0
4334,tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",USA,6.4,"$76,019,048",341.0,115.0
4337,tt0035429,È andata bene la giornata?,1942,"Thriller, War",UK,7.5,"$47,214",70.0,43.0
4346,tt0035446,Vogliamo vivere!,1942,"Comedy, War",USA,8.2,"$4,578,000",138.0,76.0
4428,tt0035753,Il corvo,1943,"Crime, Drama, Mystery",France,7.9,"$36,089",51.0,60.0
4536,tt0036112,Duello a Berlino,1943,"Drama, Romance, War",UK,8.1,"$30,129",100.0,80.0
4705,tt0036775,La fiamma del peccato,1944,"Crime, Drama, Film-Noir",USA,8.3,"$13,886",397.0,147.0
4733,tt0036868,I migliori anni della nostra vita,1946,"Drama, Romance, War",USA,8.0,"$23,656,620",288.0,125.0
4744,tt0036910,Enrico V,1944,"Biography, Drama, History",UK,7.1,"$62,619",56.0,34.0
4797,tt0037059,Incontriamoci a Saint Louis,1944,"Comedy, Drama, Family",USA,7.6,"$485,932",167.0,107.0
4894,tt0037382,Acque del Sud,1944,"Adventure, Comedy, Film-Noir",USA,7.8,"$12,459",163.0,93.0
4941,tt0037536,Le campane di Santa Maria,1945,Drama,USA,7.3,"$21,333,333",59.0,44.0
4949,tt0037558,Breve incontro,1945,"Drama, Romance",UK,8.0,"$107,384",227.0,135.0
4963,tt0037611,Nebbie,1945,"Drama, Film-Noir, Mystery",USA,7.2,"$9,635",53.0,21.0
4973,tt0037635,Incubi notturni,1945,"Drama, Horror",UK,7.7,"$1,919",137.0,78.0
4975,tt0037638,Detour,1945,"Crime, Drama, Film-Noir",USA,7.4,"$16,172",184.0,111.0
4988,tt0037674,Amanti perduti,1945,"Drama, Romance",France,8.4,"$42,781",106.0,126.0
5054,tt0037913,Il romanzo di Mildred,1945,"Crime, Drama, Film-Noir",USA,8.0,"$10,128",363.0,110.0
5107,tt0038109,Io ti salverò,1945,"Film-Noir, Mystery, Romance",USA,7.6,"$19,000",186.0,93.0
5178,tt0038348,La bella e la bestia,1946,"Drama, Fantasy, Romance",France,7.9,"$298,718",142.0,88.0
5180,tt0038355,Il grande sonno,1946,"Crime, Film-Noir, Mystery",USA,7.9,"$22,356",284.0,114.0
5205,tt0038417,Maschere e pugnali,1946,"Adventure, Film-Noir, Romance",USA,6.6,"$9,719,952",33.0,35.0
5207,tt0038419,Fra le tue braccia,1946,"Comedy, Romance, War",USA,7.5,"$17,155",27.0,31.0
5235,tt0038492,Il castello di Dragonwyck,1946,"Drama, Thriller, Mystery",USA,7.0,"$5,434",69.0,35.0
5239,tt0038499,Duello al sole,1946,"Drama, Romance, Western",USA,6.8,"$20,428,771",101.0,46.0
5256,tt0038574,Grandi speranze,1946,"Adventure, Drama, Mystery",UK,7.8,"$19,329",110.0,62.0
5278,tt0038650,La vita è meravigliosa,1946,"Drama, Family, Fantasy",USA,8.6,"$6,130,720",948.0,177.0
5286,tt0038669,I gangsters,1946,"Crime, Drama, Film-Noir",USA,7.8,"$58,222",124.0,106.0
5307,tt0038733,Scala al paradiso,1946,"Comedy, Drama, Fantasy",UK,8.1,"$124,241",178.0,70.0
5313,tt0038762,Sfida infernale,1946,"Biography, Drama, Western",USA,7.8,"$15,293",159.0,89.0
5326,tt0038787,Notorious - L'amante perduta,1946,"Drama, Film-Noir, Romance",USA,7.9,"$113,061",348.0,145.0
5334,tt0038824,Panico,1946,"Crime, Drama",France,8.0,"$46,041",19.0,22.0
5350,tt0038890,Roma città aperta,1945,"Drama, Thriller, War",Italy,8.0,"$16,712",75.0,94.0
5374,tt0038969,I racconti dello zio Tom,1946,"Animation, Comedy, Family",USA,7.1,"$37,459,346",266.0,39.0
5435,tt0039155,Amore e fortuna,1947,"Comedy, Drama",France,7.3,"$9,704",8.0,12.0
5466,tt0039220,Brighton Rock,1948,"Crime, Drama",UK,7.4,"$72,434",61.0,60.0
5494,tt0039302,La fuga,1947,"Film-Noir, Thriller",USA,7.5,"$9,693",156.0,72.0
5543,tt0039420,Il fantasma e la signora Muir,1947,"Comedy, Drama, Fantasy",USA,7.9,"$29,545",133.0,78.0
5550,tt0039437,Il delfino verde,1947,"Adventure, Romance, Drama",USA,6.8,"$2,482",52.0,7.0
5616,tt0039631,Monsieur Verdoux,1947,"Comedy, Crime, Drama",USA,7.9,"$64,636",84.0,72.0
5633,tt0039677,Fuggiasco,1947,"Crime, Drama, Thriller",UK,7.7,"$65,759",102.0,75.0
5639,tt0039694,Il caso Paradine,1947,"Crime, Drama, Romance",USA,6.6,"$6,789",106.0,38.0
5648,tt0039739,Legittima difesa,1947,"Crime, Drama",France,7.8,"$180,974",31.0,48.0
5667,tt0039808,Sogni proibiti,1947,"Comedy, Fantasy, Romance",USA,7.0,"$956,625",65.0,22.0
5732,tt0040009,Yi jiang chun shui xiang dong liu,1947,"Drama, War",China,7.4,"$6,962",3.0,5.0
5737,tt0040068,Il cervello di Frankenstein,1948,"Comedy, Fantasy, Horror",USA,7.4,"$16,444",187.0,77.0
5821,tt0040338,Idolo infranto,1948,"Drama, Mystery, Thriller",UK,7.7,"$373,185",71.0,66.0
5832,tt0040366,Le forze del male,1948,"Crime, Drama, Film-Noir",USA,7.3,"$1,165,000",66.0,57.0
5869,tt0040481,Piove sempre la domenica,1947,"Crime, Drama",UK,7.2,"$38,313",30.0,30.0
5880,tt0040506,L'isola di corallo,1948,"Action, Crime, Drama",USA,7.8,"$9,524,420",181.0,70.0
5885,tt0040522,Ladri di biciclette,1948,Drama,Italy,8.3,"$428,978",309.0,163.0
5889,tt0040536,Lettera da una sconosciuta,1948,"Drama, Romance",USA,8.0,$852,69.0,64.0
5942,tt0040682,I parenti terribili,1948,Drama,France,6.9,"$11,818",8.0,8.0
5955,tt0040725,Scarpette rosse,1948,"Drama, Music, Romance",UK,8.1,"$30,165",173.0,114.0
5962,tt0040740,I quattro rivali,1948,"Action, Drama, Film-Noir",USA,7.3,"$4,467",49.0,29.0
5965,tt0040746,Nodo alla gola,1948,"Crime, Drama, Mystery",USA,8.0,"$10,046",397.0,119.0
6026,tt0040897,Il tesoro della Sierra Madre,1948,"Adventure, Drama, Western","USA, Mexico",8.2,"$215,295",273.0,98.0
6052,tt0040979,L'angelo ubriaco,1948,"Crime, Drama, Romance",Japan,7.7,"$46,808",48.0,75.0
6080,tt0041154,Tarda primavera,1949,Drama,Japan,8.3,"$15,978",73.0,86.0
6119,tt0041253,Gli amanti della città sepolta,1949,Western,USA,7.2,"$4,755",44.0,16.0
6179,tt0041452,L'ereditiera,1949,"Drama, Romance",USA,8.1,$16,140.0,61.0
6196,tt0041507,I fidanzati sconosciuti,1949,"Comedy, Musical, Romance",USA,7.2,"$7,704,120",57.0,9.0
6209,tt0041546,Sangue blu,1949,"Comedy, Crime",UK,8.0,"$145,583",147.0,110.0
6220,tt0041587,Lettera a tre mogli,1949,"Drama, Romance",USA,7.7,"$14,768",83.0,55.0
6222,tt0041594,Piccole donne,1949,"Drama, Family, Romance",USA,7.3,"$12,905,600",66.0,13.0
6259,tt0041699,Cane randagio,1949,"Crime, Drama, Mystery",Japan,7.9,"$46,808",77.0,56.0
6262,tt0041710,Occupati d'Amelia...!,1949,Comedy,"France, Italy",6.9,"$10,499",3.0,1.0
6271,tt0041735,Sogno d'amanti,1949,Drama,UK,7.2,"$40,335",30.0,17.0
6290,tt0041800,Le sedicenni,1949,"Comedy, Drama",France,7.2,"$11,321",6.0,3.0
6344,tt0041959,Il terzo uomo,1949,"Film-Noir, Mystery, Thriller",UK,8.1,"$1,225,424",475.0,252.0
6369,tt0042040,Whisky Galore!,1949,"Comedy, Crime",UK,7.2,"$11,444",48.0,42.0
6370,tt0042041,La furia umana,1949,"Action, Crime, Drama",USA,8.1,"$5,534",187.0,82.0
6386,tt0042192,Eva contro Eva,1950,Drama,USA,8.2,"$150,438",373.0,140.0
6392,tt0042208,Giungla d'asfalto,1950,"Crime, Drama, Film-Noir",USA,7.9,"$29,868",151.0,93.0
6419,tt0042276,Nata ieri,1950,"Comedy, Drama, Romance",USA,7.6,"$12,000,000",89.0,54.0
6441,tt0042332,Cenerentola,1950,"Animation, Family, Fantasy",USA,7.3,"$95,126,535",155.0,128.0
6486,tt0042464,La leggenda dell'arciere di fuoco,1950,"Adventure, Drama, Romance",USA,7.0,"$6,713",37.0,27.0
6491,tt0042477,"Francesco, giullare di Dio",1950,"Biography, Drama, History",Italy,7.4,"$4,223",25.0,37.0
6507,tt0042530,La sanguinaria,1950,"Crime, Drama, Film-Noir",USA,7.6,"$17,322",122.0,57.0
6524,tt0042593,Il diritto di uccidere,1950,"Drama, Film-Noir, Mystery",USA,8.0,"$21,493",183.0,109.0
6530,tt0042619,Il diario di un curato di campagna,1951,Drama,France,7.9,"$47,000",57.0,64.0
6564,tt0042727,Uomini,1950,Drama,USA,7.1,"$5,995",59.0,28.0
6567,tt0042735,"Addio, signora Miniver",1950,Drama,UK,6.5,"$4,848,320",20.0,2.0
6588,tt0042788,I trafficanti della notte,1950,"Crime, Film-Noir, Mystery","UK, USA",7.9,"$43,024",94.0,81.0
6594,tt0042803,Olivia,1951,"Comedy, Drama",France,6.9,"$9,934",6.0,14.0
6595,tt0042804,I figli della violenza,1950,"Crime, Drama",Mexico,8.3,"$134,613",150.0,75.0
6618,tt0042876,Rashomon,1950,"Crime, Drama, Mystery",Japan,8.2,"$46,808",348.0,141.0
6631,tt0042906,La ronde: Il piacere e l'amore,1950,"Drama, Romance",France,7.6,$852,33.0,51.0
6660,tt0043014,Viale del tramonto,1950,"Drama, Film-Noir",USA,8.4,"$299,645",615.0,178.0
6673,tt0043048,Verso la gioia,1950,Drama,Sweden,7.2,"$5,135",18.0,19.0
6681,tt0043067,L'isola del tesoro,1950,"Adventure, Family","UK, USA",6.9,"$4,419,657",64.0,26.0
6727,tt0043265,La regina d'Africa,1951,"Adventure, Drama, Romance","UK, USA",7.7,"$51,357",253.0,124.0
6733,tt0043278,Un americano a Parigi,1951,"Drama, Musical, Romance",USA,7.2,"$272,619",171.0,101.0
6752,tt0043338,L'asso nella manica,1951,"Drama, Film-Noir",USA,8.1,"$2,300,000",182.0,115.0
6805,tt0043511,Europa '51,1952,Drama,Italy,7.5,"$9,269",27.0,26.0
6837,tt0043588,The Girl on the Bridge,1951,"Crime, Drama",USA,6.7,"$1,709,141",3.0,3.0
6889,tt0043686,Giochi proibiti,1952,"Comedy, Drama, War",France,8.0,"$19,889",75.0,60.0
6940,tt0043824,Una donna senza amore,1952,Drama,Mexico,6.5,"$2,163",7.0,10.0
6966,tt0043892,La signora Oyû,1951,Drama,Japan,7.5,"$5,020",8.0,9.0
6969,tt0043899,Pandora,1951,"Drama, Fantasy, Mystery",UK,7.0,"$31,805",50.0,45.0
6983,tt0043949,Quo Vadis,1951,"Biography, Drama, History",USA,7.2,"$101,486",123.0,57.0
6995,tt0043972,Il fiume,1951,"Drama, Romance","France, UK, India, USA",7.5,"$53,357",43.0,62.0
7004,tt0044000,Lo sceicco bianco,1952,"Comedy, Drama",Italy,7.2,"$68,940",24.0,32.0
7017,tt0044060,Un'estate d'amore,1951,"Drama, Romance",Sweden,7.6,"$7,200",35.0,38.0
7025,tt0044081,Un tram che si chiama Desiderio,1951,Drama,USA,8.0,"$49,523",281.0,88.0
7037,tt0044103,I racconti di Hoffmann,1951,"Fantasy, Music, Musical",UK,7.2,"$106,860",49.0,54.0
7079,tt0044314,Operazione Cicero,1952,"Drama, Thriller",USA,7.7,"$46,317",45.0,39.0
7107,tt0044391,Il bruto e la bella,1952,"Drama, Romance",USA,7.8,"$2,025",122.0,88.0
7164,tt0044518,Criniera bianca,1953,"Drama, Family",France,7.3,"$953,041",22.0,28.0
7168,tt0044533,L'ultima minaccia,1952,"Crime, Drama, Film-Noir",USA,7.2,"$5,228",36.0,32.0
7188,tt0044602,Fanfan la Tulipe,1952,"Adventure, Comedy, Romance","Italy, France",7.2,"$30,590",19.0,20.0
7210,tt0044672,Il più grande spettacolo del mondo,1952,"Drama, Family, Romance",USA,6.6,"$36,000,000",130.0,51.0
7232,tt0044741,Vivere,1952,Drama,Japan,8.3,"$90,773",218.0,129.0
7258,tt0044829,L'incredibile avventura di Mr. Holland,1951,"Comedy, Crime",UK,7.6,"$10,945",67.0,57.0
7260,tt0044837,Luci della ribalta,1952,"Drama, Music, Romance",USA,8.1,"$7,506",110.0,55.0
7273,tt0044863,L'avventuriero di Macao,1952,"Adventure, Crime, Drama",USA,6.7,"$3,530",49.0,32.0
7277,tt0044876,Lo scandalo del vestito bianco,1951,"Comedy, Drama, Sci-Fi",UK,7.3,"$8,953",77.0,48.0
7285,tt0044900,La vedova allegra,1952,Musical,USA,5.8,"$9,810,000",14.0,5.0
7295,tt0044926,Moulin Rouge,1952,"Biography, Drama, Music",UK,7.1,"$3,188",63.0,27.0
7329,tt0045012,Lui e lei,1952,"Comedy, Romance, Sport",USA,7.0,"$11,884",58.0,17.0
7338,tt0045034,Il piacere,1952,"Comedy, Drama, Romance",France,7.7,"$2,097",23.0,44.0
7356,tt0045081,Il ritorno di Don Camillo,1953,Comedy,"France, Italy",7.3,"$127,840",7.0,5.0
7370,tt0045112,"Vita di O-Haru, donna galante",1952,Drama,Japan,8.2,"$6,921",27.0,66.0
7380,tt0045152,Cantando sotto la pioggia,1952,"Comedy, Musical, Romance",USA,8.3,"$1,864,182",671.0,155.0
7405,tt0045205,So che mi ucciderai,1952,"Film-Noir, Thriller",USA,7.5,"$24,476",98.0,39.0
7421,tt0045274,Umberto D.,1952,Drama,Italy,8.2,"$71,816",100.0,73.0
7483,tt0045537,Spettacolo di varietà,1953,"Comedy, Musical, Romance",USA,7.5,"$14,537",109.0,62.0
7489,tt0045555,Il grande caldo,1953,"Crime, Film-Noir, Thriller",USA,8.0,"$6,324",159.0,88.0
7575,tt0045793,Da qui all'eternità,1953,"Drama, Romance, War",USA,7.6,"$36,416",184.0,124.0
