,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
74028,tt4196832,Is That a Gun in Your Pocket?,2016,Comedy,USA,5.3,"$39,928",30.0,10.0
74029,tt4196848,Mr. Church,2016,"Comedy, Drama",USA,7.6,"$685,780",195.0,35.0
74030,tt4197474,Tatara Samurai,2016,"Action, Comedy, Drama",Japan,6.0,"$431,640",3.0,10.0
74033,tt4197642,A Date for Mad Mary,2016,"Comedy, Drama, Romance",Ireland,7.0,"$154,431",15.0,34.0
74036,tt4199898,Playmobil The Movie,2019,"Animation, Adventure, Comedy","France, UK, Germany, China, Canada, USA",4.8,"$16,349,303",69.0,72.0
74039,tt4201004,Der Nanny,2015,"Comedy, Drama",Germany,5.6,"$15,772,833",3.0,18.0
74041,tt4202506,The Love Affair,2015,"Drama, Romance",Philippines,6.2,"$3,624,953",3.0,1.0
74042,tt4202960,Neko nanka yondemo konai,2016,Comedy,Japan,6.8,"$17,184",3.0,1.0
74044,tt4203200,So-syeol-po-bi-a,2014,Drama,South Korea,6.6,"$1,750,719",3.0,9.0
74045,tt4203284,Voley,2014,Comedy,Argentina,6.5,"$8,155",4.0,6.0
74048,tt4205320,La volante,2015,"Drama, Thriller","France, Belgium, Luxembourg",5.3,"$370,692",5.0,8.0
74054,tt4208506,Lejos del mar,2015,"Drama, Thriller",Spain,5.1,"$70,126",2.0,4.0
74058,tt4209788,Molly's Game,2017,"Biography, Crime, Drama","China, Canada, USA",7.4,"$59,284,015",366.0,365.0
74059,tt4209820,Balgar: The Movie,2014,"Animation, Comedy",Bulgaria,6.7,"$179,850",1.0,1.0
74060,tt4210080,The Confirmation,2016,"Comedy, Drama",Canada,6.4,"$8,382",42.0,38.0
74063,tt4211044,Adult Life Skills,2016,"Comedy, Drama","UK, Sweden",6.2,"$103,810",26.0,34.0
74064,tt4211312,The White King,2016,"Drama, Sci-Fi","UK, Germany, Sweden, Hungary",5.8,"$14,074",39.0,58.0
74066,tt4213758,Autoportretul unei fete cuminti,2015,Drama,Romania,5.2,"$14,130",4.0,5.0
74067,tt4213764,Taj Mahal,2015,Thriller,France,5.2,"$107,305",4.0,16.0
74068,tt4213806,Toro,2016,"Action, Adventure, Crime",Spain,5.9,"$1,941,305",7.0,32.0
74070,tt4214024,Gekijouban Mozu,2015,Thriller,Japan,4.8,"$9,998,652",1.0,3.0
74074,tt4216890,Baden Baden,2016,"Comedy, Drama","Belgium, France",6.6,"$61,390",4.0,29.0
74075,tt4216902,Arès,2016,"Drama, Sci-Fi, Thriller",France,6.2,"$109,143",19.0,21.0
74076,tt4216908,La corte,2015,"Comedy, Crime, Drama",France,6.6,"$7,227,045",4.0,44.0
74077,tt4216934,Frau Müller muss weg!,2015,Comedy,Germany,6.2,"$9,127,383",3.0,24.0
74078,tt4217392,Gong fu yu jia,2017,"Action, Adventure, Comedy","China, USA, India, Nepal, Hong Kong, United Arab Emirates, Iceland",5.2,"$257,750,479",69.0,68.0
74083,tt4218572,Widows - Eredità criminale,2018,"Crime, Drama, Thriller","UK, USA",6.9,"$75,984,700",584.0,354.0
74084,tt4218696,The Wall,2017,"Action, Drama, Thriller",USA,6.2,"$4,476,705",155.0,91.0
74086,tt4219130,Gekijouban Psycho-Pass,2015,"Animation, Action, Crime",Japan,7.2,"$138,366",8.0,16.0
74087,tt4219354,Red Carpet,2014,"Comedy, Romance",South Korea,6.2,"$2,217,013",3.0,2.0
74090,tt4222028,Black Mountain Poets,2015,"Comedy, Drama, Romance",UK,5.9,"$23,722",4.0,14.0
74091,tt4222718,Ai Fai.. Thank You Love You,2014,"Comedy, Romance",Thailand,7.0,"$10,657,812",14.0,1.0
74092,tt4222732,Game pluk phi,2014,Horror,Thailand,4.5,"$465,802",1.0,1.0
74100,tt4226388,Victoria,2015,"Crime, Drama, Romance",Germany,7.6,"$3,191,971",174.0,269.0
74106,tt4228294,Les cowboys,2015,Drama,"France, Belgium",6.7,"$1,302,493",14.0,57.0
74109,tt4228810,In nome di mia figlia,2016,"Biography, Crime, Drama","France, Germany",7.0,"$1,066,493",9.0,33.0
74110,tt4228816,En équilibre,2015,Drama,France,6.3,"$3,242,445",3.0,9.0
74111,tt4229298,The Unspoken,2015,"Horror, Thriller",Canada,4.9,"$258,760",28.0,24.0
74115,tt4229938,"Il ricco, il povero e il maggiordomo",2014,Comedy,Italy,5.4,"$15,377,544",1.0,5.0
74118,tt4230700,Complete Unknown - Cambio d'identità,2016,"Drama, Mystery",USA,5.4,"$217,473",43.0,56.0
74121,tt4231486,This Giant Papier-Mâché Boulder Is Actually Really Heavy,2016,"Action, Adventure, Comedy",New Zealand,5.9,"$16,557",4.0,5.0
74123,tt4231508,Eipuriru fûruzu,2015,Comedy,Japan,6.4,"$6,652,777",4.0,4.0
74127,tt4232610,Antigang - Nell'ombra del crimine,2015,"Action, Drama","France, UK",5.7,"$3,056,677",10.0,21.0
74128,tt4232620,Cómo ganar enemigos,2014,"Comedy, Crime, Mystery",Argentina,6.3,"$19,919",1.0,8.0
74130,tt4234744,Chung Cu Ma,2014,"Comedy, Horror",Vietnam,5.6,"$56,247",4.0,1.0
74133,tt4235644,L'impero dei cadaveri,2015,"Animation, Sci-Fi, Thriller",Japan,6.0,"$43,320",7.0,13.0
74134,tt4238858,The Fits,2015,"Drama, Music",USA,6.7,"$169,236",26.0,76.0
74136,tt4239726,Tanna,2015,"Adventure, Drama, Romance","Australia, Vanuatu",6.9,"$102,225",23.0,62.0
74137,tt4240406,Lída Baarová,2016,"Biography, Drama, History","Czech Republic, Slovakia",5.8,"$2,480,082",14.0,39.0
74138,tt4240654,Siccîn,2014,Horror,Turkey,6.3,"$1,510,589",16.0,2.0
74140,tt4242100,My Father Die,2016,"Action, Drama",USA,5.6,"$4,252",13.0,24.0
74141,tt4242158,Gang jiong,2015,"Action, Adventure, Comedy","China, Hong Kong",5.4,"$256,283,912",6.0,19.0
74143,tt4242844,Wei ai zhi jian ru jia jing,2014,Comedy,China,3.9,"$45,386,560",1.0,5.0
74144,tt4244162,Beta Test,2016,"Action, Sci-Fi, Thriller",USA,5.7,"$10,104",53.0,31.0
74145,tt4244998,Alpha - Un'amicizia forte come la vita,2018,"Action, Adventure, Drama","USA, Canada, China",6.7,"$98,203,196",571.0,150.0
